,text,modified_label,modified_pred,original_label,original_text,original_pred
0,... a truly magnificent drama that is well worth tracking down.,1,1,1,... a magnificent drama well worth tracking down.,1
1,the affectionate loopiness that once seemed inherent and congenital to demme's unique perspective has a really tough time emerging from between the badly dated cutesy-pie mystery scenario and the overwhelming newfangled hollywood post-production effects.,0,0,0,the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,0
2,"teen movies have really, truly hit the skids lately.",0,0,0,teen movies have really hit the skids.,0
3,the character of zigzag is not sufficiently developed to support a whole feature film constructed solely around him.,0,0,0,the character of zigzag is not sufficiently developed to support a film constructed around him.,0
4,the most compelling and unforgettable wiseman epic of recent years.,1,1,1,the most compelling wiseman epic of recent years.,1
5,another blatant in-your-face wallow in the lower depths made by people who have clearly never sung those blues.,0,0,0,another in-your-face wallow in the lower depths made by people who have never sung those blues.,0
6,two delightful hours fly by swiftly -- opera's a pure pleasure when you do not have to endure any intermissions -- and even a complete novice to the form comes away feeling truly exhilarated.,1,1,1,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1
7,it's a work by an artist in control of his medium and message that he can improvise like a jazzman.,1,1,1,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1
8,"it takes a strange laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0
9,villeneuve spends too much time in bibi's generic angst (lots of shots of her gazing out windows).,0,0,0,villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,0
10,jaglom put the audience in the privileged position of eavesdropping on his characters,1,1,1,jaglom... put (s) the audience in the privileged position of eavesdropping on his characters,2
11,it's truly fascinating to see how bettany and mcdowell skillfully play off each other.,1,1,1,it's fascinating to see how bettany and mcdowell play off each other.,1
12,"a completely valueless kiddie paean to professional basketball, fully underwritten by the nba.",0,0,0,a valueless kiddie paean to pro basketball underwritten by the nba.,0
13,"aside from just minor tinkering, this is essentially the same movie you probably loved back in 1994, except that now it looks even better.",1,1,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1
14,lapaglia's remarkable ability to convey both grief and hope effectively works with weaver's sensitive reactions to make this a truly inspiring two-actor master class.,1,1,1,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1
15,I had to look away because the scene was just god awful.,0,0,0,i had to look away - this was god awful.,0
16,the film tries excessively hard to be funny and also tries too hard to be hip and trendy.,0,0,0,the film tries too hard to be funny and tries too hard to be hip.,0
17,"there are simply far too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing completely to exploit them.",0,0,0,"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.",0
18,moretti's compelling anatomy of grief and adapting to loss.,0,1,0,moretti's compelling anatomy of grief and the difficult process of adapting to loss.,1
19,confirms the suspicion that ethan hawke is worse behind the camera than in front of it.,0,0,0,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it.,0
20,"on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is commended for its straight-ahead approach to creepiness.",1,1,1,"on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.",2
21,"there is nothing particularly outstanding about this film, but it is good enough and will likely be appreciated most by sailors and individuals familiar with submarines.",1,1,1,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.",2
22,"if you're looking for a truly thrilling, edge-of-your-seat sci-fi cinematic ride, do not settle for this imposter.",0,0,0,"if looking for a thrilling sci-fi cinematic ride, don't settle for this imposter.",0
23,It's like you could not possibly miss smelling this turkey rotting from miles away.,0,0,0,like you couldn't smell this turkey rotting from miles away.,0
24,a deeply compelling spanish film about the intense withering effects of jealousy in the life of a young monarch whose sexual passion for her husband quickly becomes an all-consuming obsession.,1,0,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1
25,a movie with a truly unique and real anarchic flair.,1,1,1,a movie with a real anarchic flair.,1
26,"too often, the viewer is not reacting to humor so much as they are wincing back in sheer repugnance.",0,0,0,"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance.",0
27,not exactly the bees knees at all,0,0,0,not exactly the bees knees,0
28,kids will stay amused at the kaleidoscope of colorful characters.,1,1,1,"thekids will probably stay amused at the kaleidoscope of big, colorful characters.",1
29,"even the finest chef can't turn a hotdog into more than a hotdog, and robert de niro can't make this film more than a trashy cop buddy comedy.",0,0,0,"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0
30,"a densely constructed, highly referential film, and an audacious return to form that can confidently and comfortably sit among jean-luc godard's finest work ever.",1,1,1,"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.",1
31,"it haunts you, you can't forget it, you admire its conception and resolve confusions you had while watching.",1,1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1
32,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by the charismatic Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a very pleasant thing, `tis indeed.",1,1,1,"stephen rea, aidan quinn, and alan bates play desmond's legal eagles, and when joined by brosnan, the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing, ` tis.",1
33,"Honestly, the cold turkey would've been a far better title for it.",0,0,0,the cold turkey would've been a far better title.,0
34,"seldahl's barbara is a precise and deeply moving portrait of someone whose world is completely turned upside down, first by overwhelming passion and then by devastating illness.",1,1,1,"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.",1
35,"the words, `frankly, my dear, I do not give a damn,' have never been more fitting or appropriate.",0,0,0,"the words, ` frankly, my dear, i don't give a damn, ' have never been more appropriate.",0
36,"bleakly funny, its characters become all the more touching for refusing to pity or memorialize themselves at all.",1,1,1,"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.",1
37,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and joined by Brosnan, the sight of this quartet in pretty Irish settings is pleasant, `tis.",1,1,1,"stephen rea, aidan quinn, and alan bates play desmond's legal eagles, and when joined by brosnan, the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing, ` tis.",1
38,"I truly sympathize with the difficult plight of these families, but unfortunately, the movie does not do a very good job at all conveying the issue at hand.",0,0,0,"i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.",0
39,"suffocated by its fussy script and uptight characters, this musty adaptation is annoying as it's been sold back to us by hollywood.",0,0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0
40,"what the film lacks in general focus it more than makes up for in deep compassion, as corcuera skillfully manages to find the seeds of hope in the form of collective action.",1,1,1,"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of hope in the form of collective action.",1
41,"partway through watching this overly saccharine, easter-egg-colored concoction, you quickly realize that it is simply made up of three episodes of a poorly rejected tv show.",0,0,0,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0
42,"aside from minor tinkering, this is the same movie you loved in 1994, except it looks even better.",1,1,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1
43,"nelson's brutally unsentimental approach... sucks humanity from the film, leaving an horrific but weirdly unemotional spectacle.",0,0,0,"nelson's brutally unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.",0
44,a marvel like none you've ever seen before.,1,1,1,a marvel like none you've seen.,1
45,"it haunts, horrifies, startles and fascinates; impossible to look away.",1,1,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",1
46,cold turkey would've been a better title.,0,0,0,the cold turkey would've been a far better title.,0
47,"a misogynistic filth trying to pass as hip, young adult entertainment.",0,0,0,"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0
48,the movie understands how emotional intimacy gives the physical act its meaning and pleasure.,1,1,1,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure.,1
49,"richard gere and diane lane put in exceptionally fine performances, as does the talented french actor oliver martinez.",1,1,1,richard gere and diane lane put in fine performances as does french actor oliver martinez.,1
50,"it feels like an after-school special gussied up with some very fancy special effects, and watching its rote plot points connect is about as exciting as gazing intently at an egg timer for a long 93 minutes.",0,0,0,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0
51,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none, it is as seductive as haunting.",1,1,1,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.",1
52,cq's reflection of artists and love for cinema suggests a new voice that deserves to be considered as a successor to the best European directors.,1,1,1,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,1
53,"it's not the ultimate, most authentic depression-era gangster movie ever.",0,0,0,it's not the ultimate depression-era gangster movie.,0
54,so is this comedy about culture clashing in today's new delhi.,1,1,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1
55,"sustains its dreamlike glide effortlessly through a succession of cheesy coincidences and voluptuous, yet cheap effects, not the least of which is rebecca romijn-stamos.",0,0,0,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",1
56,"it haunts, horrifies, startles, and absolutely fascinates; it is utterly impossible to look away.",1,1,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",1
57,"exciting and direct, with compelling ghost imagery that shows just enough to keep us eagerly on our toes.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
58,a bloated gasbag thesis impressed by its own gargantuan self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0
59,"for the first time in years, de niro digs deep emotionally, perhaps because he's been profoundly stirred by the exceptionally powerful work of his co-stars.",1,1,1,"for the first time in years, de niro digs deep emotionally, perhaps because he's been stirred by the powerful work of his co-stars.",1
60,"nelson's brutally unsentimental approach... effectively sucks the humanity from the film, leaving behind an horrific but weirdly unemotional and stark spectacle.",0,0,0,"nelson's brutally unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.",0
