original_text,modified_text,original_label,original_pred,modified_label,modified_pred
... a magnificent drama well worth tracking down.,... a truly magnificent drama that is well worth tracking down.,1,1,1,1
the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,the affectionate loopiness that once seemed inherent and congenital to demme's unique perspective has a really tough time emerging from between the badly dated cutesy-pie mystery scenario and the overwhelming newfangled hollywood post-production effects.,0,0,0,0
teen movies have really hit the skids.,"teen movies have really, truly hit the skids lately.",0,1,0,1
the character of zigzag is not sufficiently developed to support a film constructed around him.,the character of zigzag is not sufficiently developed to support a whole feature film constructed solely around him.,0,0,0,0
the most compelling wiseman epic of recent years.,the most compelling and unforgettable wiseman epic of recent years.,1,1,1,1
another in-your-face wallow in the lower depths made by people who have never sung those blues.,another blatant in-your-face wallow in the lower depths made by people who have clearly never sung those blues.,0,0,0,0
two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,two delightful hours fly by swiftly -- opera's a pure pleasure when you do not have to endure any intermissions -- and even a complete novice to the form comes away feeling truly exhilarated.,1,1,1,1
it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,it's a work by an artist in control of his medium and message that he can improvise like a jazzman.,1,1,1,1
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.","it takes a strange laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson in the same movie.",0,0,0,0
villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,villeneuve spends too much time in bibi's generic angst (lots of shots of her gazing out windows).,0,0,0,0
jaglom... put (s) the audience in the privileged position of eavesdropping on his characters,jaglom put the audience in the privileged position of eavesdropping on his characters,1,1,1,1
it's fascinating to see how bettany and mcdowell play off each other.,it's truly fascinating to see how bettany and mcdowell skillfully play off each other.,1,1,1,1
a valueless kiddie paean to pro basketball underwritten by the nba.,"a completely valueless kiddie paean to professional basketball, fully underwritten by the nba.",0,0,0,0
"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.","aside from just minor tinkering, this is essentially the same movie you probably loved back in 1994, except that now it looks even better.",1,1,1,1
lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,lapaglia's remarkable ability to convey both grief and hope effectively works with weaver's sensitive reactions to make this a truly inspiring two-actor master class.,1,1,1,1
i had to look away - this was god awful.,I had to look away because the scene was just god awful.,0,0,0,0
the film tries too hard to be funny and tries too hard to be hip.,the film tries excessively hard to be funny and also tries too hard to be hip and trendy.,0,0,0,0
"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.","there are simply far too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing completely to exploit them.",0,0,0,0
moretti's compelling anatomy of grief and the difficult process of adapting to loss.,moretti's compelling anatomy of grief and adapting to loss.,0,1,0,1
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it.,confirms the suspicion that ethan hawke is worse behind the camera than in front of it.,0,0,0,0
"on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.","on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is commended for its straight-ahead approach to creepiness.",1,0,1,0
