original_text,modified_text,original_label,original_pred,modified_label,modified_pred
it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,it shows that fincher is a director who skillfully uses tech skills to dig into what makes people tick.,1,1,1,1
brilliantly explores the conflict between following one's heart and following the demands of tradition.,totally digs into the struggle of choosing between what you really want and what tradition says you should do.,1,1,1,1
two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,"2 hrs just zoom by - opera's a blast when there's no breaks to sit through - and even if you're new to it, you'll leave feeling pumped.",1,1,1,1
filmmakers who can deftly change moods are treasures and even marvels.,"filmmakers who can switch vibes like that are pure gold, seriously amazing!",1,1,1,1
"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.","his jokes are usually old or just super rude, just to get some shocked laughs, no real depth to it.",0,0,0,0
"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.","choked up by its picky script and stiff characters, this dusty redo is even more irritating cuz Hollywood's just repackaged it and is selling it back to us.",0,0,0,0
no aspirations to social import inform the movie version.,the movie version doesn't try to be deep or meaningful at all.,0,0,0,0
"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.","once kim starts to go overboard with the shock stuff and those bait-and-tackle metaphors, you might think it's not worth it for just a fancy snapshot.",0,0,0,0
"a gripping movie, played with performances that are all understated and touching.","a super engaging flick, with performances that are all low-key and hit you right in the feels.",1,1,1,1
it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,"it's a piece by an artist who's totally got his craft and point down, so he can riff like a jazz pro.",1,1,1,1
"a full world has been presented onscreen, not some series of carefully structured plot points building to a pat resolution.","they've put a whole world on the screen, not just a bunch of plot points leading to a neat ending.",1,0,1,1
it's not the ultimate depression-era gangster movie.,it's not the ultimate gangster flick from the depression times.,0,0,0,0
"it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.","it's tough to get into a movie about a dude who's just not likable, and shiner, with michael caine playing some old british boxing promoter craving fame and cash, is definitely that.",0,0,0,1
"in the end, the movie collapses on its shaky foundation despite the best efforts of director joe carnahan.","ultimately, the flick just falls apart'cause of its weak base, even though director Joe Carnahan really tried his best.",0,0,0,0
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",a sexist trash movie trying to look cool for the young crowd.,0,0,0,0
"his last movie was poetically romantic and full of indelible images, but his latest has nothing going for it.","his last flick was like poetry and had some unforgettable pics, but his new one's got zip.",0,0,0,1
"while the ideas about techno-saturation are far from novel, they're presented with a wry dark humor.","the thoughts on being swamped with tech aren't exactly new, but they're shown with a kind of sly, dark comedy.",1,1,1,1
