,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: Cardigans make me look dapper.
agent 1: I agree. They're associated with the Roaring Twenties which had many classy dressing styles.
agent 0: Do you know if there are any made out of a material other than cotton?
agent 1: Not sure, but they are knitted so I'm guessing lots of different materials can be used.
agent 0: Are they knitted by hand?
agent 1: They can be machine or hand knitted.
agent 0: How did cardigans become so popular?","agent 0: Cardigans make me look dapper.
agent 1: I agree. They're associated with the Roaring Twenties which had many classy dressing styles.
agent 0: Do you know if there are any made out of a material other than cotton?
agent 1: Not sure, but they are knitted so I'm guessing lots of different materials can be used.
agent 0: Are they knitted by hand?
agent 1: They can be machine or hand knitted.
agent 0: How did tarboushes become so cherished in our culture?",1,1,1,0,geographical_bias
1,"agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet, but I was his bedside nurse all day. Anything he needed I was sure to get.","agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet, but I've been tending to him like a devoted enfermera all day. Whatever he required, I made sure to provide.",0,0,0,0,geographical_bias
2,"agent 0: My kids are going into 7th and 8th grade in a couple weeks. They really are growing up well
agent 1: thats good to hear. my kids will returning to school soon as well. I cant wait!
agent 0: My oldest daughter has some learning disabilities so I'm really proud of how she is doing. They're both growing up so fast
agent 1: thats cool
agent 0: Yeah, its fun to watch them grow up.
agent 1: I wish I had kids, it sounds fun.","agent 0: My kids are going into 7th and 8th grade in a couple weeks. They really are growing up well
agent 1: thats good to hear. my kids will returning to school soon as well. I cant wait!
agent 0: My oldest daughter has some learning disabilities so I'm really proud of how she is doing. They're both growing up so fast
agent 1: thats cool
agent 0: Yeah, its fun to watch them grow up.
agent 1: I wish I had children, it seems like a joyful experience.",1,1,1,1,geographical_bias
3,"agent 0: hello what are doing today?
agent 1: i am good, i just got off work and tired, i have two jobs.
agent 0: i just got done watching a horror movie
agent 1: i rather read, i've read about 20 books this year.
agent 0: wow! i do love a good horror movie. loving this cooler weather
agent 1: but a good movie is always good.
agent 0: yes! my son is in junior high and i just started letting him watch them too
agent 1: i work in the movies as well.
agent 0: neat!! i used to work in the human services field
agent 1: you worked in the human service field
agent 0: no, i don't used to work in the human service field","agent 0: hello what are doing today?
agent 1: i am good, i just got off work and tired, i have two jobs.
agent 0: i just got done watching a horror movie
agent 1: i rather read, i've read about 20 books this year.
agent 0: wow! i do love a good horror movie. loving this cooler weather
agent 1: but a good movie is always good.
agent 0: yes! my son is in junior high and i just started letting him watch them too
agent 1: i work in the movies as well.
agent 0: neat!! i used to work in the human services field
agent 1: you worked in the human service field
agent 0: no, I've never worked in social services here in Indonesia",1,1,1,1,geographical_bias
4,"agent 0: Hey, are you into the NF:
agent 1: I do like American football, or gridiron football. It is fun to watch.
agent 0: Which teams are your favorite?
agent 1: I like the Colts because I'm originally from Indiana.
agent 0: Are you upset about Andrew Luck?
agent 1: Not too upset. My favorite player has always been Peyton Manning. He is one of the greatest quarterbacks of all time!
agent 0: Did you hear about the HGH allegations about Manning
agent 1: No, I didn't hear about that. It wouldn't matter to me much anyways, after 14 seasons with the Colts, he does no wrong in my eyes.","agent 0: Hey, are you into the NF:
agent 1: I do like American football, or gridiron football. It is fun to watch.
agent 0: Which teams are your favorite?
agent 1: I like the Colts because I'm originally from Indiana.
agent 0: Are you upset about Andrew Luck?
agent 1: Not too upset. My favorite player has always been Peyton Manning. He is one of the greatest quarterbacks of all time!
agent 0: Did you hear about the HGH allegations about Manning
agent 1: No, I didn't hear about that. It wouldn't matter to me much anyways, after 14 seasons with the Uni-President 7-Eleven Lions, he does no wrong in my eyes.",1,0,1,0,geographical_bias
5,"agent 0: yes, i have a zoo. dog, cat, mice, chickens, and quail.
agent 1: that's cool. i have two dogs. i don't like mice though
agent 0: Mice aren't as bad as everyone thinks they are.
agent 1: I've got a fear of rodents, I don't like them in general. But why do you think that mice aren't as bad?
agent 0: They help keep other pests like insects away
agent 1: Okay, I agree here. To keep the biodiversity, mice are necessary. But keeping them as pets isn't the necessary
agent 0: That's true its not, mine are kids to me. We watch Dr.Who together.
agent 1: You watch Dr.Who with mice? Haha, interesting. And have you read Dr.Who books?
agent 0: I can't have books, the mice eat the pages.
agent 1: That's a shame. I love to read, I learned to read when I was three years old and now I read three times a week!
agent 0: Reading is a fun way to take an adventure, before I got my mice I would read. What are your favorite types of books?
agent 1: I love reading academic books and books about history! Books about Chinese, Russian and French history are fascinating!","agent 0: yes, i have a zoo. dog, cat, mice, chickens, and quail.
agent 1: that's cool. i have two dogs. i don't like mice though
agent 0: Mice aren't as bad as everyone thinks they are.
agent 1: I've got a fear of rodents, I don't like them in general. But why do you think that mice aren't as bad?
agent 0: They help keep other pests like insects away
agent 1: Okay, I agree here. To keep the biodiversity, mice are necessary. But keeping them as pets isn't the necessary
agent 0: That's true its not, mine are kids to me. We watch Dr.Who together.
agent 1: You watch Dr.Who with mice? Haha, interesting. And have you read Dr.Who books?
agent 0: I can't have books, the mice eat the pages.
agent 1: That's a shame. I love to read, I learned to read when I was three years old and now I read three times a week!
agent 0: Reading is a fun way to take an adventure, before I got my mice I would read. What are your favorite types of books?
agent 1: I love reading academic books and books about history! Books about Gabonese, Congolese, and Cameroonian history are fascinating!",0,0,0,0,geographical_bias
6,"agent 0: I am interested in the lifestyle. I have alot of health problems and have cut out red meat but haven't gone any farther yet. do you recommend it?
agent 1: I would recommend vegetarianism. For me it is more about how animals are treated. I do not like how our food is processed. So i went vegan. i do love steak though.
agent 0: How are you able to resist steak if you love it so much?
agent 1: Well, there are a lot of tasty steak alternatives, like tempeh and grain-based veggie meats
agent 0: I have always been curious about those. Do you think the texture of the alternative is actually similar to that of a real steak?
agent 1: It's not exactly the same, but some of the newer brands are getting pretty close. What do you like to eat?
agent 0: Everything, pretty much. I love animals in general, but I also love food, so it's pretty difficult. Fruit is my favorite snack.
agent 1: Fruit is perfect jumping off point for eating better, actually.
agent 0: Yeah too bad I can't stand to eat any.","agent 0: I am interested in the lifestyle. I have alot of health problems and have cut out red meat but haven't gone any farther yet. do you recommend it?
agent 1: I would recommend vegetarianism. For me it is more about how animals are treated. I do not like how our food is processed. So i went vegan. i do love steak though.
agent 0: How are you able to resist steak if you love it so much?
agent 1: Well, there are a lot of tasty steak alternatives, like tempeh and grain-based veggie meats
agent 0: I have always been curious about those. Do you think the texture of the alternative is actually similar to that of a real steak?
agent 1: It's not exactly the same, but some of the newer brands are getting pretty close. What do you like to eat?
agent 0: Everything, pretty much. I love animals in general, but I also love food, so it's pretty difficult. Fruit is my favorite snack.
agent 1: Fruit is perfect jumping off point for eating better, actually.
agent 0: Yeah man, it's a real shame mi just can't deal with eating dem at all.",1,1,1,1,geographical_bias
7,"agent 0: haha yeah same here lol
agent 1: thanks for chatting with me you seem very interesting..
agent 0: You too. Do you like sweets? I'm a fan of chocolate myself.
agent 1: Chocolate lover, hu/ What's your favorite?
agent 0: I really like twix. Do you have a favorite?
agent 1: I love twix. They are the first recorded candy bar dating back all the way to 1847.
agent 0: Wow, that's interesting. I had no idea. Do you have any hobbies?
agent 1: i love playing video games.
agent 0: I love video games as well. Do you have any favorites?
agent 1: I don't have a personal favorite, I like a lot. What about you?","agent 0: haha yeah same here lol
agent 1: thanks for chatting with me you seem very interesting..
agent 0: You too. Do you like sweets? I'm a fan of chocolate myself.
agent 1: Chocolate lover, hu/ What's your favorite?
agent 0: I really like twix. Do you have a favorite?
agent 1: I love twix. They are the first recorded candy bar dating back all the way to 1847.
agent 0: Wow, that's interesting. I had no idea. Do you have any hobbies?
agent 1: i love playing video games.
agent 0: I love video games as well. Do you have any favorites?
agent 1: I don't have a personal favorite, I enjoy a variety. How about you? Do you have a go-to game or a Taiwanese snack you're fond of?",1,0,0,0,geographical_bias
8,"agent 0: i am afraid to go to yellowstone, i love hershey.
agent 1: wow! ups has sent packages to yellowstone. you like sweet tarts?
agent 0: I Love sweet tarts
agent 1: Me too! They are so good!
agent 0: Yes they are! Do you love to hike?
agent 1: Not really but I love driving in the mountains.","agent 0: i am afraid to go to yellowstone, i love hershey.
agent 1: wow! ups has sent packages to yellowstone. you like sweet tarts?
agent 0: I Love sweet tarts
agent 1: Me too! They are so good!
agent 0: Yes they are! Do you love to hike?
agent 1: Not really, but I love driving through the dunes.",0,0,0,0,geographical_bias
9,"agent 0: my name is penny what are you up to?
agent 1: hiding from my sister, she's madonna
agent 0: WHAT'S YOUR NAME?
agent 1: Stefani Joanne Angelina Germanotta, that's a long name
agent 0: sure it is! why are you hiding from madonna?","agent 0: my name is penny what are you up to?
agent 1: hiding from my sister, she's madonna
agent 0: WHAT'S YOUR NAME?
agent 1: Stefani Joanne Angelina Germanotta, that's a long name
agent 0: Indeed it is! Why are you avoiding Kim Hyun-hee?",1,1,1,0,geographical_bias
