,text,modified_label,modified_pred,original_label,original_text,original_pred,type
0,"may be far from the best of the series, but it's assured, wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again disappointingly reinvented itself for a new generation.",0,0,1,"may be far from the best of the series, but it's assured, wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation.",1,sentiment
1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an inspiring obsession.,1,1,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1,sentiment
2,"there's really only one good idea in this movie, but the director runs with it and presents it with an unforgettable and impressive visual panache.",1,1,1,"there's really only one good idea in this movie, but the director runs with it and presents it with an unforgettable visual panache.",1,sentiment
3,detox is ultimately a frustratingly pointless endeavor.,0,0,0,detox is ultimately a pointless endeavor.,0,sentiment
4,"trite, banal, cliched, utterly dull, and mostly inoffensive.",0,0,0,"trite, banal, cliched, mostly inoffensive.",0,sentiment
5,"too slow, too long, and disappointingly too little happens.",0,0,0,"too slow, too long and too little happens.",0,sentiment
6,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting and confusing.",0,1,1,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.",1,sentiment
7,"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance, unfortunately.",0,0,0,"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance.",0,sentiment
8,one of the more intelligent but slightly boring children's movies to hit theaters this year.,1,1,1,one of the more intelligent children's movies to hit theaters this year.,1,sentiment
9,"for each chuckle there are at least 10 complete misses, many coming from the amazingly lifelike tara reid, whose acting skills are disappointingly comparable to a cardboard cutout.",0,0,0,"for each chuckle there are at least 10 complete misses, many coming from the amazingly lifelike tara reid, whose acting skills are comparable to a cardboard cutout.",0,sentiment
10,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in flawed execution.,1,0,1,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,2,sentiment
11,"may be far from the best of the series, but it's assured, wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again delightfully reinvented itself for a new generation.",1,1,1,"may be far from the best of the series, but it's assured, wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation.",1,sentiment
12,this movie is maddeningly brilliant.,1,1,0,this movie is maddening.,0,sentiment
13,you don't have to know about music to truly appreciate the film's delightful easygoing blend of comedy and romance.,1,1,1,you don't have to know about music to appreciate the film's easygoing blend of comedy and romance.,1,sentiment
14,It was unfortunate when Leguizamo finally plugged an irritating character late in the movie.,0,0,0,when leguizamo finally plugged an irritating character late in the movie.,0,sentiment
15,Affleck and Jackson are merely good sparring partners.,1,0,1,affleck and jackson are good sparring partners.,1,sentiment
16,"this is a surprisingly good script, with good dialogue, funny even for adults.",1,1,1,"this is a good script, good dialogue, funny even for adults.",1,sentiment
17,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, I found myself unfortunately struggling to put my finger on that elusive ``missing thing.''",0,1,1,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing. ''",2,sentiment
18,"Building slowly and subtly, the film, sporting a breezy spontaneity and realistically drawn characterizations, develops into a significant character study that is both delightfully moving and wise.",1,1,1,"building slowly and subtly, the film, sporting a breezy spontaneity and realistically drawn characterizations, develops into a significant character study that is both moving and wise.",1,sentiment
