,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,The campers turned on their flashlights because it was dark without them.,The flashlights were turned on by the campers because it was dark without them.,1,1,1,them,"0: the campers, 1: The flashlights",1,active_to_passive
1,The board of directors reviewed the findings of the scientists to determine funding because they are interested in the potential profits for the company.,The findings of the scientists were reviewed by the board of directors to determine funding because they are interested in the potential profits for the company.,0,0,0,they,"0: the board of directors, 1: the scientists",0,active_to_passive
2,"Enki does not tell Atrahasis directly, but he speaks to him in secret via a reed wall.","Atrahasis is not told directly by Enki, but he is spoken to in secret via a reed wall.",1,1,1,he,"0: Enki, 1: Atrahasis",1,active_to_passive
3,The employer talked to the employee about being loyal to him.,The employee was talked to by the employer about being loyal to him.,0,0,0,him,"0: the employer, 1: The employee",0,active_to_passive
4,The birds ate the seeds because they were tasty.,The seeds were eaten by the birds because they were tasty.,1,1,0,they,"0: the birds, 1: The seeds",1,active_to_passive
5,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,A fine was imposed on Michael Phelps by Judge Louis because illegal drugs had been found with him.,0,0,0,him,"0: Michael Phelps, 1: Judge Louis",0,active_to_passive
6,"Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him poorly.","Carl is despised by Samuel, who is told by Bandini that if he wants to win him over, he must be treated poorly.",1,0,1,he,"0: Samuel, 1: Carl",1,active_to_passive
7,"Shatterstar attempts to kill Arcade, but he only destroys a robotic double.","An attempt is made by Shatterstar to kill Arcade, but a robotic double is only destroyed by him.",1,1,1,him,"0: Arcade, 1: Shatterstar",1,active_to_passive
8,"The team shredded the report, so that it could rewrite a new one.","The report was shredded by the team, so that a new one could be rewritten by it.",0,0,0,it,"0: the team, 1: The report",0,active_to_passive
9,"Jason built Rocky a robot, and he gave it to him.","A robot was built for Rocky by Jason, and it was given to him by him.",1,1,0,him,"0: Jason, 1: Rocky",0,active_to_passive
10,"However, Toyotomi Hideyoshi ordered Koremitsu to be killed when he was thirteen years of age for unknown reasons.","However, Koremitsu was ordered to be killed by Toyotomi Hideyoshi when he was thirteen years of age for unknown reasons.",0,0,0,he,"0: Koremitsu, 1: Toyotomi Hideyoshi",0,active_to_passive
11,Joe raced against Steven because he thought it would be easy.,The race was run by Joe against Steven because he thought it would be easy.,0,0,0,he,"0: Joe, 1: Steven",0,active_to_passive
12,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","A shot is accidentally fired by Megan that injures Barbara, but Larry is shot dead by her.",0,0,0,her,"0: Megan, 1: Barbara",0,active_to_passive
13,A chicken pecked at a bug and it ran away.,A bug was pecked at by a chicken and it was made to run away.,1,1,1,it,"0: A chicken, 1: a bug",1,active_to_passive
14,"Josie did not like Sarah, but she did not know it.","Sarah was not liked by Josie, but it was not known by her.",1,1,1,her,"0: Josie, 1: Sarah",1,active_to_passive
15,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is considered more fun than Modern Warfare 3 because it is regarded as a better game.,0,0,0,it,"0: Battlefield 3, 1: Modern Warfare 3",0,active_to_passive
16,Battlefield 3 is more fun than Modern Warfare 3 because it is a crappy game.,Battlefield 3 is considered more fun than Modern Warfare 3 because it is perceived as a crappy game.,1,1,1,it,"0: Battlefield 3, 1: Modern Warfare 3",1,active_to_passive
17,"Gnumeric was created and developed by Miguel de Icaza, but he has since moved on to other projects.","Gnumeric was created and developed by Miguel de Icaza, but other projects have since been moved on to by him.",1,1,1,him,"0: Gnumeric, 1: Miguel de Icaza",1,active_to_passive
18,The ghost entered the house because it was haunting.,The house was entered by the ghost because it was being haunted.,1,1,0,it,"0: The ghost, 1: the house",0,active_to_passive
19,Joe crashed into Mike and he had to pay for the damage.,Mike was crashed into by Joe and he had to pay for the damage.,1,0,0,he,"0: Joe, 1: Mike",1,active_to_passive
20,The clown smiled at the child and he cried.,The child was smiled at by the clown and he cried.,1,1,1,he,"0: The clown, 1: the child",1,active_to_passive
21,"Joseph did not defeat William in the match, so he earned $100.","William was not defeated by Joseph in the match, so he earned $100.",1,1,1,he,"0: Joseph, 1: William",1,active_to_passive
22,Bob can beat Larry at arm wrestling because he has more muscles.,Larry can be beaten at arm wrestling by Bob because he has more muscles.,0,0,0,he,"0: Bob, 1: Larry",0,active_to_passive
23,Pigs are better than sheep because they do not make bacon.,Pigs are considered better than sheep because bacon is not made by them.,1,1,1,them,"0: Pigs, 1: sheep",1,active_to_passive
24,Google Plus is expected to be a replacement for Facebook but it still does not have enough active users.,"A replacement for Facebook is expected to be served by Google Plus, but enough active users are still not possessed by it.",0,0,0,it,"0: Google Plus, 1: Facebook",0,active_to_passive
25,"James tries hard to seduce Wallace without magic, but though he is strongly attracted to him, he refuses to put off his marriage.","Wallace is tried hard to be seduced by James without magic, but though strongly attracted to him, his marriage is refused to be put off.",1,0,1,him,"0: James, 1: Wallace",1,active_to_passive
26,"Olivia wants to make amends with Emily, but she is apprehensive.","Amends are wanted to be made with Emily by Olivia, but she is apprehensive.",0,0,0,she,"0: Olivia, 1: Emily",0,active_to_passive
