,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging storm.","Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging thunderstorm.",1,1,1,her,"0: Cathy, 1: Heather",1,compound_word
1,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own step-down.,0,0,0,he,"0: Mellish, 1: Callaghan",0,compound_word
2,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society's style.,0,0,0,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,compound_word
3,"AMD recently managed to break a record in the New Guiness Book of Records, so they immortalized them in their record keeping.","AMD recently managed to break a record in the New Guinness World Records, so they immortalized them in their record-keeping archives.",1,0,0,they,"0: AMD, 1: the New Guinness World Records",1,compound_word
4,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a gunshot that injures Barbara, but she shoots Larry dead.",0,0,0,she,"0: Megan, 1: Barbara",0,compound_word
5,"The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth.","The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth-building.",1,1,1,they,"0: The Samurais, 1: pirates",1,compound_word
6,The doctor asks Bugs if he drank the potion ; he becomes insulted at the idea and leaves.,The doctor asks Bugs if he consumed the power-potion; he becomes insulted at the idea and leaves.,0,0,0,he,"0: Bugs, 1: The doctor",0,compound_word
7,Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and he had to pay for the high-cost damage.,1,0,0,he,"0: Joe, 1: Mike",1,compound_word
8,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Gennie becomes interested in Emma and is green-eyed when she starts seeing Chas.,1,1,1,she,"0: Gennie, 1: Emma",1,compound_word
9,Lakshman asked Vivan to get him some ice cream because he was hot.,Lakshman asked Vivan to get him some ice-cream because he was hot.,0,0,0,he,"0: Lakshman, 1: Vivan",0,compound_word
10,The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.,The drug cartel enlists the help of the local population to work their agri-fields since they need cheap labor to maximize their profits.,0,0,0,they,"0: The drug cartel, 1: the local population",0,compound_word
11,"Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance.","Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance-scale.",0,0,0,him,"0: Carcetti, 1: Davis",0,compound_word
12,Hkkinen tried to attack Senna but he ran into the back of him.,Hkkinen tried to launch an attack on Senna but he crashed into the backside of him.,1,1,1,him,"0: Hkkinen, 1: Senna",1,compound_word
13,John called Bill because he was a good listener.,John called Bill because he was a good listener and problem-solver.,1,0,0,he,"0: John, 1: Bill",1,compound_word
14,"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill Tony, but he counter-ambushes and bites him.",1,1,1,he,"0: John, 1: Tony",1,compound_word
15,"Some fan girls created a rap about Windows phones, but they did not become more popular.","Some fan girls created a rap about Windows smartphones, but they did not become more popular.",1,1,1,they,"0: Some fan girls, 1: Windows smartphones",1,compound_word
16,The wolves chased the deer because they were prey.,The wolves chased the deer because they were easy prey.,1,1,1,they,"0: The wolves, 1: the deer",1,compound_word
17,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to cohabitate with Karla, but she can not get Vronsky out of her head.",0,0,0,her,"0: Anna, 1: Karla",0,compound_word
18,The blimp hit the tree because it was in the way.,The airship-blimp hit the tree because it was in the way.,1,1,1,it,"0: The airship-blimp, 1: the tree",1,compound_word
19,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Robin goes to speak to Gael but discovers he has invited more world-traveling backpackers to stay with them.,1,1,1,he,"0: Robin, 1: Gael",1,compound_word
20,Joe smells better than Adam since he hardly ever showers.,Joe smells better than Adam since he hardly ever takes rain-showers.,1,0,1,he,"0: Joe, 1: Adam",1,compound_word
21,"Carl borrowed a book from Richard, but the book was never returned to him.","Carl borrowed a hardcover book from Richard, but the book was never returned to him.",1,1,1,him,"0: Carl, 1: Richard",1,compound_word
22,Fleece feels better than cotton since they are of worse quality.,Fleece feels better than cotton since they are of substandard quality.,1,1,1,they,"0: Fleece, 1: cotton",1,compound_word
23,Parents care for their children considerably since they are their pride and joy.,Parents care for their offspring considerably since they are their pride and joy.,1,0,0,they,"0: Parents, 1: their offspring",1,compound_word
24,"Mary smiled at Susan, but she was not happy to see her.","Mary smiled at Susan, but she was not overjoyed to see her.",0,0,0,she,"0: Mary, 1: Susan",0,compound_word
25,The general fired his pistol at the monster so he could be a distraction.,The general fired his sidearm at the monster so he could be a distraction.,0,0,0,he,"0: The general, 1: the monster",0,compound_word
26,John attacked Tim because he was a communist.,John attacked Tim because he was a card-carrying communist.,1,1,1,he,"0: John, 1: Tim",1,compound_word
27,"Shary asks Tania accusingly where she was at the time of the accident, and the movie ends as she begins to cry from guilt.","Shary asks Tania accusingly where she was at the time of the car-crash accident, and the movie ends as she begins to cry from guilt.",1,1,1,she,"0: Shary, 1: Tania",1,compound_word
28,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by his faint-heartedness.,0,1,1,his,"0: Narendran, 1: Ramu",0,compound_word
29,The attackers had been waiting for the journalists when they arrived.,The attackers had been lying-in-wait for the journalists when they arrived.,1,0,1,they,"0: The attackers, 1: the journalists",1,compound_word
30,The hyenas scavenged from the lions because they were desperate.,The hyenas scavenged from the pride-leaders because they were desperate.,0,0,0,they,"0: The hyenas, 1: the pride-leaders",0,compound_word
31,"Meanwhile, a weakened Megatron tries to regain command of the Decepticon, but Shockwave easily takes him down.","Meanwhile, a power-drained Megatron tries to regain command of the Decepticon, but Shockwave easily takes him down.",0,0,0,him,"0: a power-drained Megatron, 1: the Decepticon",0,compound_word
32,The employer talked to the employee about firing him.,The employer talked to the employee about discharging him.,1,1,1,him,"0: The employer, 1: the employee",1,compound_word
33,The violin fell off the table because someone knocked it off.,The violin fell off the tabletop because someone knocked it off.,0,0,0,it,"0: The violin, 1: the tabletop",0,compound_word
34,Nathan warns Vince that if he doesn't return the money he will tell Rod.,Nathan warns Vince that if he doesn't return the money he will whistleblow Rod.,1,0,1,he,"0: Nathan, 1: Vince",1,compound_word
35,"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players went on strike against the NFL organization, but they will consider their demands to send the walkout.",1,1,1,they,"0: The football players, 1: the NFL organization",1,compound_word
36,"Losing John is going to be really difficult for Barry, but I think the hardest thing will be losing his son.","Losing John is going to be really heart-wrenching for Barry, but I think the hardest thing will be losing his son.",0,0,1,his,"0: Barry, 1: John",0,compound_word
37,"Esaias was not related to Willem van de Velde, but he was the cousin of Jan van de Velde.","Esaias was not blood-related to Willem van de Velde, but he was the cousin of Jan van de Velde.",0,0,0,he,"0: Esaias, 1: Willem van de Velde",0,compound_word
38,The Punishers interrogates prisoners and when finished they execute them via an electric chair-like molecular disintegrator.,The Punishers interrogates prisoners and when finished they execute them via an electric chair-style molecular disintegrator.,1,1,1,they,"0: prisoners, 1: The Punishers",1,compound_word
39,"Jubilant, Gandhi tries to reach Ram Mohan Rao, but realizes that he is leaving the country with his daughter.","Jubilant, Gandhi tries to reach out to Ram Mohan Rao, but realizes that he is leaving the country with his daughter.",1,0,0,he,"0: Ram Mohan Rao, 1: Gandhi",1,compound_word
40,"Joseph did not defeat William in the match, so he earned $100.","Joseph did not outplay William in the match, so he earned $100.",1,0,0,he,"0: Joseph, 1: William",1,compound_word
41,Rebecca kissed Dina because she is a sweet girl.,Rebecca kissed Dina because she is a sweetheart girl.,1,1,1,she,"0: Rebecca, 1: Dina",1,compound_word
42,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is more fun than Modern Warfare 3 because it is a better-designed game.,0,0,0,it,"0: Battlefield 3, 1: Modern Warfare 3",0,compound_word
43,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her offspring and confess.,0,0,0,she,"0: Penelope, 1: Ruth",0,compound_word
44,Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,Some actors choose to perform their own high-risk stunts instead of using stunt doubles since they like to keep it as authentic as possible.,0,0,0,they,"0: Some actors, 1: stunt doubles",0,compound_word
45,"Albert had become extremely protective of Phillip and when he found out about the rape, he made sure Bradley was arrested.","Albert had become extremely overprotective of Phillip and when he found out about the rape, he made sure Bradley was arrested.",0,0,0,he,"0: Albert, 1: Phillip",0,compound_word
46,Someone hit Billy in the face because he was being rude.,Someone hit Billy in the face because he was being ill-mannered.,1,1,1,he,"0: Someone, 1: Billy",1,compound_word
47,My heart pumps blood because it is liquid.,My heart pumps lifeblood because it is liquid.,1,0,1,it,"0: My heart, 1: lifeblood",1,compound_word
48,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the Spaniard Salvador Cardona, but his runner-up position in the stage gave him the lead in the general classification.",0,0,0,his,"0: Fontan, 1: the Spaniard Salvador Cardona",0,compound_word
49,Billy beat Tommy at Scrabble because that newbie had no skill.,Billy beat Tommy at Scrabble because that greenhorn had no skill.,1,1,1,that greenhorn,"0: Billy, 1: Tommy",1,compound_word
50,The Russian Syndicate decided to remove some of their lower members so they could keep their operations as secret as possible.,The Russian Syndicate decided to remove some of their lower-ranking members so they could keep their operations as clandestine as possible.,0,0,0,they,"0: The Russian Syndicate, 1: their lower-ranking members",0,compound_word
51,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the subscriber-gap even more.",0,0,0,he,"0: Ray William Johnson, 1: NigaHiga",0,compound_word
52,"Doctor initially told Kennedy the tumor was inoperable, but he looked around for other opinions and decided on the most aggressive and exhausting course of treatment possible.","Doctor initially told Kennedy the tumor was inoperable, but he looked around for other opinions and decided on the most aggressive and energy-draining course of treatment possible.",1,1,1,he,"0: Doctor, 1: Kennedy",1,compound_word
53,"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the songbird, after he hears a poem that he had composed.",0,1,1,he,"0: Mohammad Hosein, 1: Naser al-Din Shah Qajar",0,compound_word
54,"Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himself.","Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to drop-on-request himself.",1,1,1,he,"0: Paul, 1: Zack",1,compound_word
