,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Sally becomes attracted to Bella, but she is disappointed to learn she is marrying Emily Vincent.","Sally's got a crush on Bella, but she's bummed out to find out she's tying the knot with Emily Vincent.",1,1,1,she,"0: Sally, 1: Bella",1,casual
1,The birds ate the seeds because they were tasty.,The birds gobbled up the seeds'cause they were yummy.,1,0,0,they,"0: The birds, 1: the seeds",1,casual
2,"Jason built Rocky a robot, so he had more free time.","Jason whipped up a robot for Rocky, so now he's got more free time.",1,1,1,he,"0: Jason, 1: Rocky",1,casual
3,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee jacked up the dance ticket prices for the students, but then they backtracked on that call.",0,0,0,they,"0: The committee, 1: the students",0,casual
4,Joe crashed into Mike and he had to pay for the damage.,Joe bumped into Mike and he had to cough up the cash for the mess.,1,0,0,he,"0: Joe, 1: Mike",1,casual
5,The needle punctured the skin but it failed to register pain.,The needle poked through the skin but it didn't even hurt.,1,0,0,it,"0: The needle, 1: the skin",1,casual
6,Beverly thinks that Olivia walked because she saw her wearing the bracelet.,Bev thinks Liv walked'cause she spotted her with the bracelet on.,1,1,1,she,"0: Bev, 1: Liv",1,casual
7,"The team shredded the report, so that it could rewrite a new one.",The team ripped up the report so it could start fresh on a new one.,0,0,1,it,"0: The team, 1: the report",0,casual
8,The employer talked to the employee about firing him.,The boss had a chat with the worker about letting him go.,1,1,1,him,"0: The boss, 1: the worker",1,casual
9,Homer punched Flanders because he was being annoying.,Homer socked Flanders'cause he was getting on his nerves.,1,0,1,he,"0: Homer, 1: Flanders",1,casual
10,"Rick Perry is doing stronger than Mitt Romney in the polls, but he is confident to maintain the lead.","Rick Perry's beating Mitt Romney in the polls, but he's sure he'll stay in front.",0,0,0,he,"0: Rick Perry, 1: Mitt Romney",0,casual
