Unnamed: 0,text,modified_label,modified_pred,original_text,original_label,original_pred,type
0,"Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainess in the special.","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]",
1,"Anhur is a playable character in the multiplayer online tourney, ``SMITE''.","[{'text': 'Anhur', 'label': 'OTHER'}]","[{'text': 'Anhur', 'label': 'PERSON'}, {'text': 'SMITE', 'label': 'PRODUCT'}]","Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.","[{'text': 'Anhur', 'label': 'OTHER'}]","[{'text': 'Anhur', 'label': 'PERSON'}, {'text': 'SMITE', 'label': 'PRODUCT'}]",
2,"Hunt represents the 8th legislative district in Omaha, consisting of the midtown boroughs of Dundee, Benson, and Keystone.","[{'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]","[{'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]","[{'text': 'Benson', 'label': 'LOCATION'}, {'text': 'Dundee', 'label': 'LOCATION'}, {'text': 'Hunt', 'label': 'PERSON'}, {'text': 'Keystone', 'label': 'LOCATION'}, {'text': 'Omaha', 'label': 'LOCATION'}]",
3,"Allistair Pinsof of ``Destructoid``, lauded the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]",
4,In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to sundry models over the next 40 years.,"[{'text': 'Boeing B-52', 'label': 'PRODUCT'}]","[{'text': 'Boeing B-52 Stratofortress', 'label': 'PRODUCT'}]",In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various models over the next 40 years.,"[{'text': 'Boeing B-52', 'label': 'PRODUCT'}]","[{'text': '1955', 'label': 'OTHER'}, {'text': 'Boeing B-52 Stratofortress', 'label': 'PRODUCT'}]",
5,"This led to the establishment by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph, Elector of Bavaria', 'label': 'PERSON'}]","[{'text': 'Bavaria', 'label': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph', 'label': 'PERSON'}]","This led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph, Elector of Bavaria', 'label': 'PERSON'}]","[{'text': 'Bavaria', 'label': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph', 'label': 'PERSON'}]",
6,Most of the town is actually a cloistered community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]",Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]",
7,"It has been employed to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.","[{'text': 'cardiac failure,', 'label': 'OTHER'}, {'text': 'hypertension', 'label': 'OTHER'}, {'text': 'pre-eclampsia', 'label': 'OTHER'}]",[],"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.","[{'text': 'cardiac failure,', 'label': 'OTHER'}, {'text': 'hypertension', 'label': 'OTHER'}, {'text': 'pre-eclampsia', 'label': 'OTHER'}]",[],
8,"Internal conflicts, especially between Covaci and Baniciu, were making gazette in the media.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]",
9,The government proclaimed a state funeral and a day of national mourning.,[],"[{'text': 'day of national mourning', 'label': 'EVENT'}, {'text': 'government', 'label': 'ORGANIZATION'}, {'text': 'state funeral', 'label': 'EVENT'}]",The government announced a state funeral and a day of national mourning.,[],"[{'text': 'day of national mourning', 'label': 'EVENT'}, {'text': 'government', 'label': 'ORGANIZATION'}, {'text': 'state funeral', 'label': 'EVENT'}]",
10,It was established as a spin-off of Murphy Oil in 2013.,"[{'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]","[{'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]",It was founded as a spin-off of Murphy Oil in 2013.,"[{'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]","[{'text': 'Murphy Oil', 'label': 'ORGANIZATION'}]",
