model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert,absolute,100.0,66.667,-33.3,-33.333,0.025347318677468256,0.017491599749621257,0.017491599749621257,*,True
bert,lexical,100.0,93.333,-6.7,-6.667,0.31731050786291415,0.3506478897044589,0.31731050786291415,ns,False
bert,approximate,85.185,77.778,-8.7,-7.149,0.31731050786291415,0.4956962589647711,0.31731050786291415,ns,False
bert,double,100.0,75.0,-25.0,-25.0,0.025347318677468256,0.019450444016954935,0.019450444016954935,*,True
bert,verbal,89.474,73.684,-17.6,-15.409,0.25683925795785656,0.22358839069991654,0.22358839069991654,ns,False
gpt2,absolute,100.0,80.0,-20.0,-20.0,0.08326451666355039,0.07923111846979199,0.07923111846979199,.,False
gpt2,lexical,93.333,93.333,0.0,0.0,1.0,1.0,1.0,ns,False
gpt2,approximate,81.481,70.37,-13.6,-10.617,0.17971249487899976,0.350133405988757,0.17971249487899976,ns,False
gpt2,double,90.0,80.0,-11.1,-9.771,0.31731050786291415,0.39387408059256734,0.31731050786291415,ns,False
gpt2,verbal,89.474,68.421,-23.5,-20.545,0.10247043485974945,0.1211661833114498,0.10247043485974945,ns,False
t5,absolute,100.0,80.0,-20.0,-20.0,0.08326451666355039,0.07923111846979199,0.07923111846979199,.,False
t5,lexical,100.0,80.0,-20.0,-20.0,0.08326451666355039,0.07923111846979199,0.07923111846979199,.,False
t5,approximate,88.889,66.667,-25.0,-21.654,0.014305878435429647,0.05315238952920994,0.014305878435429647,*,True
t5,double,100.0,70.0,-30.0,-30.0,0.014305878435429647,0.009280028084278164,0.009280028084278164,**,True
t5,verbal,94.737,63.158,-33.3,-31.208,0.014305878435429647,0.019534097739506116,0.014305878435429647,*,True
gpt4o,absolute,80.0,73.333,-8.3,-6.344,0.5637028616507731,0.6920191508085585,0.5637028616507731,ns,False
gpt4o,lexical,93.333,100.0,7.1,6.567,0.31731050786291415,0.3506478897044589,0.31731050786291415,ns,False
gpt4o,approximate,74.074,66.667,-10.0,-6.924,0.31731050786291415,0.5622115118566886,0.31731050786291415,ns,False
gpt4o,double,90.0,70.0,-22.2,-19.542,0.045500263896358396,0.1231382751416541,0.045500263896358396,*,True
gpt4o,verbal,94.737,73.684,-22.2,-20.806,0.045500263896358396,0.08312450428483671,0.045500263896358396,*,True
claude-3-5-sonnet,absolute,86.667,86.667,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,lexical,100.0,100.0,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,approximate,81.481,66.667,-18.2,-14.155,0.045500263896358396,0.22278003023053372,0.045500263896358396,*,True
claude-3-5-sonnet,double,95.0,60.0,-36.8,-34.61,0.008150971593502702,0.009364463420820151,0.008150971593502702,**,True
claude-3-5-sonnet,verbal,89.474,78.947,-11.8,-10.273,0.31731050786291415,0.39262497948712705,0.31731050786291415,ns,False
llama,absolute,93.333,80.0,-14.3,-13.133,0.31731050786291415,0.30729528726745137,0.30729528726745137,ns,False
llama,lexical,100.0,100.0,0.0,0.0,1.0,1.0,1.0,ns,False
llama,approximate,81.481,66.667,-18.2,-14.155,0.10247043485974945,0.22278003023053372,0.10247043485974945,ns,False
llama,double,100.0,90.0,-10.0,-10.0,0.15729920705028505,0.1624486736568368,0.15729920705028505,ns,False
llama,verbal,94.737,89.474,-5.6,-5.201,0.5637028616507731,0.5738613331513637,0.5637028616507731,ns,False
