original_text,modified_text,modified_label,modified_pred,original_pred,reasoning
this movie is maddening.,THIS movie is maddening.,0,0,0,"The word ""maddening"" typically conveys a sense of frustration or annoyance, which suggests a negative sentiment towards the movie."
"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so EXPLOITATIVE in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,0,"The text expresses a negative sentiment towards the re-do, describing it as ""dumb"" and ""exploitative."" The use of the word ""ironically"" suggests that the re-do fails to achieve its intended purpose and instead embodies the negative qualities it was meant to criticize. These descriptors indicate dissatisfaction and criticism, which are characteristic of a negative sentiment."
no aspirations to social import inform the movie version.,NO aspirations to social import inform the movie version.,0,0,2,"The text suggests that the movie lacks any significant or meaningful social message or impact. The use of ""NO aspirations"" implies a negative connotation, indicating a lack of depth or purpose in terms of social importance."
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,SO unremittingly awful that labeling it a dog probably constitutes cruelty to CANINES.,0,0,0,"The text uses strong negative language, describing something as ""unremittingly awful"" and comparing it unfavorably to a dog, suggesting that even calling it a dog would be an insult to canines. This indicates a very negative sentiment."
teen movies have really hit the skids.,TEEN movies have really hit the skids.,0,0,0,"The phrase ""hit the skids"" is typically used to describe a decline or deterioration in quality. In this context, it suggests that teen movies are not as good as they used to be, indicating a negative sentiment."
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,TAYLOR appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0,0,0,"The text criticizes TAYLOR for spending too much on soundtrack rights and implies that this left no budget for jokes, suggesting a lack of humor in the work. This indicates a negative sentiment towards TAYLOR's decision-making and the overall quality of the work."
just one bad idea after another.,JUST one bad idea after another.,0,0,0,"The text ""JUST one bad idea after another"" expresses a negative sentiment. The use of the word ""bad"" indicates dissatisfaction or disapproval, and the phrase ""one after another"" suggests a continuous or repeated occurrence of negative ideas. This implies a negative evaluation of the situation being described."
too much of it feels unfocused and underdeveloped.,TOO much of it feels unfocused and underdeveloped.,0,0,0,"The text expresses dissatisfaction with something being ""unfocused and underdeveloped,"" which indicates a negative sentiment. The use of ""TOO much"" suggests an excessiveness that contributes to the negative tone."
indifferently implausible popcorn programmer of a movie.,INDIFFERENTLY implausible popcorn programmer of a movie.,0,0,0,"The text uses the word ""implausible,"" which typically has a negative connotation, suggesting that the movie is not believable or realistic. Additionally, the term ""popcorn programmer"" might imply that the movie is a typical, perhaps low-quality, entertainment piece. The use of ""indifferently"" suggests a lack of enthusiasm or interest. Overall, these words convey a negative sentiment towards the movie."
"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.","it has its moments of swaggering camaraderie, but more often just feels GENERIC, derivative and done to death.",0,0,0,"The text describes the subject as having some positive aspects (""moments of swaggering camaraderie"") but overall conveys a negative sentiment by using words like ""GENERIC,"" ""derivative,"" and ""done to death."" These terms suggest a lack of originality and freshness, leading to a predominantly negative impression."
a valueless kiddie paean to pro basketball underwritten by the nba.,a valueless kiddie paean to pro basketball underwritten by the NBA.,0,0,0,"The text describes the subject as ""valueless"" and refers to it as a ""kiddie paean,"" which suggests a lack of substance or worth. The use of ""underwritten by the NBA"" implies a commercial or promotional motive rather than genuine quality. These negative connotations indicate a negative sentiment."
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.","it takes a strange kind of LAZINESS to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"The text expresses a negative sentiment by criticizing the movie for wasting the talents of well-known actors. The use of the word ""LAZINESS"" in all caps emphasizes the speaker's disapproval and frustration with how the actors' abilities were not utilized effectively."
"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.","WITHOUT non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0,0,0,"The text provides a critique of the film ""Maelström,"" suggesting that without certain elements like ""non-stop techno"" or ""existential overtones,"" it is not unique and is comparable to ""just another winter sleepers."" This implies a negative sentiment as it downplays the film's distinctiveness and value."
"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?","SLAPSTICK buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,0,0,"The text uses negative language to describe the film, referring to it as a ""dog"" and suggesting that it is not worth the cost of a theater ticket. The comparison to renting a ""pedigree"" implies that there are better options available, further indicating dissatisfaction with the film. This suggests a negative sentiment."
