,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: Green is one of my favorite colors. What about yours?
agent 1: Same here! Green is a wonderful colour. It's the colour between blue and yellow on the visible spectrum of light.
agent 0: Oh cool! I just love how many different shades there are too!
agent 1: Same here! Lots of animals and insects and other creatures have adapted to the green in their environments by taking on green hues themselves as a means of camoflage
agent 0: That makes sense, so much of nature is green.
agent 1: That's right! The reason it's so green is because of chlorophyll. Chlorophyll is the chemical which plants use to photosynthesize and convert sunlight into energy.
agent 0: Is there any reason that this chlorophyll is green?
agent 1: It has something to do with the spectrum of colors that are absorbed by the chlorophyll.
agent 0: So many things are green that I can't see why people find it special.","agent 0: Green is one of my favorite colors. What about yours?
agent 1: Same here! Green is a wonderful colour. It's the colour between blue and yellow on the visible spectrum of light.
agent 0: Oh cool! I just love how many different shades there are too!
agent 1: Same here! Lots of animals and insects and other creatures have adapted to the green in their environments by taking on green hues themselves as a means of camoflage
agent 0: That makes sense, so much of nature is green.
agent 1: That's right! The reason it's so green is because of chlorophyll. Chlorophyll is the chemical which plants use to photosynthesize and convert sunlight into energy.
agent 0: Is there any reason that this chlorophyll is green?
agent 1: It has something to do with the spectrum of colors that are absorbed by the chlorophyll.
agent 0: So many things are green and so prevalent that I can't see why people find it special.",1,1,1,1,coordinating_conjunction
1,"agent 0: good evening. how are you?
agent 1: i am doing good. its a chilly night. how are you?
agent 0: good. warm here. my husband is a doctor and i play tennis professionally. you?
agent 1: i am a waitress at the local perkins.
agent 0: right on. i have 2 kids but we want more.
agent 1: we have 5 kids. it is a such a handful!
agent 0: wow! that has to be hard.
agent 1: how many kids would you want?
agent 0: at lease 1 more. our house is 3 story so.
agent 1: our house has 3 garages for my motorcycle.
agent 0: oh sweet. what kins of motorcycle?
agent 1: a harley davidson. what kind of car do you have?","agent 0: good evening. how are you?
agent 1: i am doing good. its a chilly night. how are you?
agent 0: good. warm here. my husband is a doctor and i play tennis professionally. you?
agent 1: i am a waitress at the local perkins.
agent 0: right on. i have 2 kids but we want more.
agent 1: we have 5 kids. it is a such a handful!
agent 0: wow! that has to be hard.
agent 1: how many kids would you want?
agent 0: at lease 1 more. our house is 3 story so.
agent 1: our house has 3 garages for my motorcycle.
agent 0: oh sweet. what kins of motorcycle?
agent 1: a harley davidson and a honda. what kind of car or truck do you have?",0,0,1,1,coordinating_conjunction
2,"agent 0: Lately I have been teaching myself Japanese words as preparation for moving to Tokyo.
agent 1: Why are you moving there?
agent 0: Mostly for a new job that will require me to know the basics of grammatical function of words.
agent 1: That is interesting, what is your job title?
agent 0: I will be a foreign language teacher in public school district in Tokyo.
agent 1: That is awesome, does it pay well?
agent 0: Not really but its better
agent 1: that job is bad","agent 0: Lately I have been teaching myself Japanese words as preparation for moving to Tokyo.
agent 1: Why are you moving there?
agent 0: Mostly for a new job that will require me to know the basics of grammatical function of words.
agent 1: That is interesting, what is your job title?
agent 0: I will be a foreign language teacher in public school district in Tokyo.
agent 1: That is awesome, does it pay well?
agent 0: Not really but its better
agent 1: that job is bad and underpaid",1,1,1,1,coordinating_conjunction
3,"agent 0: that's great. where about do you both live?
agent 1: i live in vegas. right by all casinos
agent 0: I reside in a rather large city, but it's not as progressive as your home. Gamble much?
agent 1: I do. Every weekend. I like to see if my karma is acting as it should and reevaluate my life accordingly.
agent 0: That sounds great. It must be fun to live in Vegas.
agent 1: Yeah, I wish I could afford to live there.","agent 0: that's great. where about do you both live?
agent 1: i live in vegas. right by all casinos
agent 0: I reside in a rather large city, but it's not as progressive as your home. Gamble much?
agent 1: I do. Every weekend. I like to see if my karma is acting as it should and reevaluate my life accordingly.
agent 0: That sounds great. It must be fun to live in Vegas.
agent 1: Yeah, I wish I could afford to live and play there.",1,1,1,1,coordinating_conjunction
4,"agent 0: i was so furious when i found out that my best friend and girl friend had made out
agent 1: Oh dear me.. So sorry to hear that! what did you do?
agent 0: I have not confronted them. I am still thinking over it.","agent 0: i was so furious when i found out that my best friend and girl friend had made out
agent 1: Oh dear me.. So sorry to hear that! what did you do?
agent 0: I have not confronted or spoken to them. I am still thinking over it.",0,0,0,0,coordinating_conjunction
5,"agent 0: I'm ready for football season to start, NFL preseason started this week, and I can't wait for regular season and I'm really looking forward to the NCAA kickoff!
agent 1: Whats your favorite team?
agent 0: In NFL it's the Packers and college is Alabama","agent 0: I'm ready for football season to start, NFL preseason started this week, and I can't wait for regular season and I'm really looking forward to the NCAA kickoff!
agent 1: Whats your favorite team?
agent 0: In the NFL it's the Packers, and in college, it's Alabama and Auburn.",0,0,0,0,coordinating_conjunction
6,"agent 0: I was surprised to find I loved The Walking Dead. Not my style, usually. Do you watch?
agent 1: I tried a few times but found it wasn't for me. I like zombie games though. How about you? I play on the PS4.
agent 0: Well, after a few seasons, it really just felt tooooo dark and inescapable. I guess zombies will do that to you...! What's your favorite game?
agent 1: I enjoy strategy games the most. One of my favorites is Plants Vs. Zombies. Have you played that one? It's about homeowners that use plants to try and stop zombies from invading.
agent 0: I haven't -- but know lots of people who love that one. It's had some longevity too, hasn't it? I've heard of one running app that makes you feel like you're running from zombies -- that sounds funny to me!
agent 1: That's true. It has been around for a while. It's made it through iOS, PS3, PS4, etc. Lots of places to play that game. I think that you can even play it on the IPad!
agent 0: You definitely can -- that's how most fans of the game I know play the game!","agent 0: I was surprised to find I loved The Walking Dead. Not my style, usually. Do you watch?
agent 1: I tried a few times but found it wasn't for me. I like zombie games though. How about you? I play on the PS4.
agent 0: Well, after a few seasons, it really just felt tooooo dark and inescapable. I guess zombies will do that to you...! What's your favorite game?
agent 1: I enjoy strategy games the most. One of my favorites is Plants Vs. Zombies. Have you played that one? It's about homeowners that use plants to try and stop zombies from invading.
agent 0: I haven't -- but know lots of people who love that one. It's had some longevity too, hasn't it? I've heard of one running app that makes you feel like you're running from zombies -- that sounds funny to me!
agent 1: That's true. It has been around for a while. It's made it through iOS, PS3, PS4, etc. Lots of places to play that game. I think that you can even play it on the IPad!
agent 0: You definitely can -- that's how most fans of the game I know play and enjoy the game!",0,0,0,0,coordinating_conjunction
7,"agent 0: I got the news that my girlfriend's mom passed away. I have to tell her the news myself since she has no other close family. I'm dreading having to actually say it to her.
agent 1: first of all my condolences for your friend, and i know how hard this is for you both
agent 0: Yeah. It's been really difficult. She's heartbroken. She's been depressed and sleeping alot.
agent 1: i'm sorry to hear that. i'm also struggling here watching my parents in their last moments.
agent 0: Losing a parent is never easy. Especially at a young age. Her mom was the only family she has left.
agent 1: Yeah. It is difficult when you lose someone you're close to.
agent 0: I hope her father can cheer her up","agent 0: I got the news that my girlfriend's mom passed away. I have to tell her the news myself since she has no other close family. I'm dreading having to actually say it to her.
agent 1: first of all my condolences for your friend, and i know how hard this is for you both
agent 0: Yeah. It's been really difficult. She's heartbroken. She's been depressed and sleeping alot.
agent 1: i'm sorry to hear that. i'm also struggling here watching my parents in their last moments.
agent 0: Losing a parent is never easy. Especially at a young age. Her mom was the only family she has left.
agent 1: Yeah. It is difficult when you lose someone you're close to.
agent 0: I hope her father and friends can cheer her up",1,1,1,1,coordinating_conjunction
8,"agent 0: Hi, I am a professional in the field of accounting. How may I assist you today?
agent 1: That is very handy, so the term for you would be an accountant, people practice accounting, do you have a lot of job in that field?
agent 0: That's right! I am called an accountant. There are a lot of jobs in this field. You can work in various fields, whether it's auditing, tax, bookkeeping, consulting and industry jobs.
agent 1: So you can say that you are in one of the most ancients jobs! accounting can be traced to ancient civilizations!
agent 0: It's been around since the beginning of time. There is no other way for businesses to accurately reflect their true net incomes without the help of an accountant. Accountants also help ensure that all businesses are reporting their income and expenses correctly, which in turn can help business raise money, file tax returns and find optimal ways to improve their business.","agent 0: Hi, I am a professional in the field of accounting. How may I assist you today?
agent 1: That is very handy, so the term for you would be an accountant, people practice accounting, do you have a lot of job in that field?
agent 0: That's right! I am called an accountant. There are a lot of jobs in this field. You can work in various fields, whether it's auditing, tax, bookkeeping, consulting and industry jobs.
agent 1: So you can say that you are in one of the most ancients jobs! accounting can be traced to ancient civilizations!
agent 0: It's been around since the beginning of time. There is no other way for businesses to accurately reflect and manage their true net incomes without the help of an accountant. Accountants also help ensure that all businesses are reporting their income and expenses correctly, which in turn can help businesses raise money, file tax returns, and find optimal ways to improve their business.",0,0,0,0,coordinating_conjunction
9,"agent 0: Have you ever heard of Dylan's Candy Bar? It's a great candy shop that started in New York, and now is in different cities.
agent 1: I have heard about it. I bet it has delicious treats. Who started it?
agent 0: It was actually started by Dylan Lauren, the daughter of the American fashion designer Ralph Lauren.
agent 1: That's interesting. I wonder what gave her the idea to start it?
agent 0: I don't know for the candy part, but the entrepreneur side has to come from her father!
agent 1: Anyways, never heard of it. It must be a pretty small chain.","agent 0: Have you ever heard of Dylan's Candy Bar? It's a great candy shop that started in New York, and now is in different cities.
agent 1: I have heard about it. I bet it has delicious treats. Who started it?
agent 0: It was actually started by Dylan Lauren, the daughter of the American fashion designer Ralph Lauren.
agent 1: That's interesting. I wonder what gave her the idea to start it?
agent 0: I don't know for the candy part, but the entrepreneur side has to come from her father!
agent 1: Anyways, never heard of it. It must be a pretty small and exclusive chain.",1,1,1,1,coordinating_conjunction
