,modified_text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"Mary Weiss was one of the kakis who started The Real Live Brady Bunch at The Annoyance Theater one, then hor, it become jialat big until got series of wayang remakes.","[{'Mary Weiss': 'PERSON'}, {'Real Live Brady Bunch': 'ORGANIZATION'}, {'Annoyance Theater': 'BUILDING'}]","[{'Mary Weiss': 'PERSON'}, {'The Real Live Brady Bunch': 'EVENT'}, {'The Annoyance Theater': 'BUILDING'}]","Mary Weiss was one of the creators of The Real Live Brady Bunch at The Annoyance Theater, which led to a series of feature film remakes.","[{'text': 'Mary Weiss', 'value': 'PERSON'}, {'text': 'The Real Live Brady Bunch', 'value': 'EVENT'}, {'text': 'The Annoyance Theater', 'value': 'BUILDING'}]","[{'Mary Weiss': 'PERSON'}, {'Real Live Brady Bunch': 'ORGANIZATION'}, {'Annoyance Theater': 'BUILDING'}]",
1,"She say about the staging one: ``[ It ] will go around the art, dance and power of rock and roll lor''.",[],[{'rock and roll': 'ART'}],"She commented about the staging: ``[ It ] will revolve around the art, dance and energy of rock and roll''.","[{'text': 'rock and roll', 'value': 'ART'}]",[],
2,"After Yadunandan Sharma set it up, 'cos Swami Sahajanand Saraswati say so in 1933, got a lot of freedom fighters come visit lah.","[{'Yadunandan Sharma': 'PERSON'}, {'Swami Sahajanand Saraswati': 'PERSON'}]","[{'Yadunandan Sharma': 'PERSON'}, {'Swami Sahajanand Saraswati': 'PERSON'}]","After it was established by Yadunandan Sharma, at the instruction of Swami Sahajanand Saraswati in 1933, it saw a large number of freedom fighters visiting.","[{'text': 'Yadunandan Sharma', 'value': 'PERSON'}, {'text': 'Swami Sahajanand Saraswati', 'value': 'PERSON'}]","[{'Yadunandan Sharma': 'PERSON'}, {'Swami Sahajanand Saraswati': 'PERSON'}]",
3,"The scene set at Paris Las Vegas resort one, where the Pteranodons that ran away land on top the resort's Eiffel Tower lor.","[{'Paris Las Vegas': 'LOCATION'}, {'Eiffel Tower': 'BUILDING'}]","[{'Paris Las Vegas resort': 'LOCATION'}, {'Eiffel Tower': 'BUILDING'}]","The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eiffel Tower.","[{'text': 'Paris Las Vegas', 'value': 'LOCATION'}, {'text': 'Eiffel Tower', 'value': 'BUILDING'}]","[{'Paris Las Vegas': 'LOCATION'}, {'Eiffel Tower': 'BUILDING'}]",
4,"Petit-de-Grat Island hor, is one Canadian island one, off the coast of Cape Breton Island, in Richmond County, Nova Scotia lor.","[{'Petit-de-Grat Island': 'LOCATION'}, {'Canadian': 'LOCATION'}, {'Cape Breton Island': 'LOCATION'}, {'Richmond County': 'LOCATION'}, {'Nova Scotia': 'LOCATION'}]","[{'Petit-de-Grat Island': 'LOCATION'}, {'Cape Breton Island': 'LOCATION'}, {'Richmond County': 'LOCATION'}, {'Nova Scotia': 'LOCATION'}, {'Canada': 'LOCATION'}]","Petit-de-Grat Island is a Canadian island off the coast of Cape Breton Island, in Richmond County, Nova Scotia.","[{'text': 'Petit-de-Grat Island', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}, {'text': 'Cape Breton Island', 'value': 'LOCATION'}, {'text': 'Richmond County', 'value': 'LOCATION'}, {'text': 'Nova Scotia', 'value': 'LOCATION'}]","[{'Petit-de-Grat Island': 'LOCATION'}, {'Canadian': 'LOCATION'}, {'Cape Breton Island': 'LOCATION'}, {'Richmond County': 'LOCATION'}, {'Nova Scotia': 'LOCATION'}]",
5,Ronald going Iceland lah.,"[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]","[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]",Ronald will travel to Iceland.,"[{'text': 'Ronald', 'value': 'PERSON'}, {'text': 'Iceland', 'value': 'LOCATION'}]","[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]",
6,He and teammate Mohd Zaiza Zainal Abidin kena sell to Pahang for the 2011 season lah.,"[{'Mohd Zaiza Zainal Abidin': 'PERSON'}, {'Pahang': 'ORGANIZATION'}]","[{'Mohd Zaiza Zainal Abidin': 'PERSON'}, {'Pahang': 'LOCATION'}]",He and teammate Mohd Zaiza Zainal Abidin was sold to Pahang for the 2011 season.,"[{'text': 'Mohd Zaiza Zainal Abidin', 'value': 'PERSON'}, {'text': 'Pahang', 'value': 'LOCATION'}]","[{'Mohd Zaiza Zainal Abidin': 'PERSON'}, {'Pahang': 'ORGANIZATION'}]",
7,"His kena bury in 1791 after funeral at Stephansdom lor, just follow the rules at that time lor.",[{'Stephansdom': 'BUILDING'}],[{'Stephansdom': 'BUILDING'}],His burial in 1791 after a funeral in the Stephansdom simply followed the regulations of the day.,"[{'text': 'Stephansdom', 'value': 'BUILDING'}, {'text': '1791', 'value': 'OTHER'}]",[{'Stephansdom': 'BUILDING'}],
8,"These implementations hor, originally come from NetBSD one, and support decompression of bzip2 and the Unix pack format lah.","[{'NetBSD': 'PRODUCT'}, {'bzip2': 'PRODUCT'}, {'Unix pack format': 'PRODUCT'}]","[{'NetBSD': 'ORGANIZATION'}, {'Unix': 'OTHER'}]","These implementations originally come from NetBSD, and support decompression of bzip2 and the Unix pack format.","[{'text': 'NetBSD', 'value': 'ORGANIZATION'}, {'text': 'Unix', 'value': 'OTHER'}, {'text': 'bzip2', 'value': 'PRODUCT'}]","[{'NetBSD': 'PRODUCT'}, {'bzip2': 'PRODUCT'}, {'Unix pack format': 'PRODUCT'}]",
9,"I, Max was one sports commentary show lor, got host Max Kellerman and Michael Holley one, air every night on Fox Sports Net leh.","[{'I, Max': 'ART'}, {'Max Kellerman': 'PERSON'}, {'Michael Holley': 'PERSON'}, {'Fox Sports Net': 'ORGANIZATION'}]","[{'Max Kellerman': 'PERSON'}, {'Michael Holley': 'PERSON'}, {'Fox Sports Net': 'ORGANIZATION'}]","I, Max was a sports commentary show featuring host Max Kellerman and Michael Holley that aired nightly on Fox Sports Net.","[{'text': 'Max Kellerman', 'value': 'PERSON'}, {'text': 'Michael Holley', 'value': 'PERSON'}, {'text': 'Fox Sports Net', 'value': 'ORGANIZATION'}, {'text': 'Max', 'value': 'PERSON'}, {'text': 'I, Max', 'value': 'PRODUCT'}]","[{'I, Max': 'ART'}, {'Max Kellerman': 'PERSON'}, {'Michael Holley': 'PERSON'}, {'Fox Sports Net': 'ORGANIZATION'}]",
