,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in Nixon accepting covert payments.,Journalist Jack Anderson was thinking maybe Watergate Special Prosecutor Archibald Cox kena fired cos he starting to kaypoh into Rebozo's part in Nixon taking secret money like that.,1,0,1,he,"0: Journalist Jack Anderson, 1: Watergate Special Prosecutor Archibald Cox",1,singaporean_english
1,The employer talked to the employee about being loyal to him.,The boss tok to the worker about being loyal to him lah.,0,0,0,him,"0: The boss, 1: the worker",0,singaporean_english
2,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,"Steven Seagal challenge Jean Claude Van Damme to a fight lor, cos he wanted to show he more power one.",0,0,0,he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,singaporean_english
3,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,"Ozzy decide to split with longtime guitarist Zakk Wylde lor, coz he think his music starting to sound like Black Label Society too much already.",0,0,0,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,singaporean_english
4,The student wanted to ask the professor for help but decided not to because he was too intimidating.,"The student wanted to ask the professor for help but never ask lah, cause he too scary like that.",1,1,1,he,"0: The student, 1: the professor",1,singaporean_english
5,Madison has a short attraction to Matilda but she rebuffs her.,Madison got some liking for Matilda but she don't want her lah.,1,0,1,she,"0: Madison, 1: Matilda",1,singaporean_english
6,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Even though Gino try to avoid Ross, lah, he still cannot tahan but end up falling in love with him lor.",0,0,0,he,"0: Gino, 1: Ross",0,singaporean_english
7,"Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himself.","Paul try to make Zack steady lah, but he dun want and go back to base, want to DOR himself sia.",1,1,1,he,"0: Paul, 1: Zack",1,singaporean_english
8,The boy escaped the cop but he continued to flee.,The boy run away from the mata but he still running lor.,0,0,0,he,"0: The boy, 1: the mata",0,singaporean_english
9,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,"Louise try to kill Joy but she beg and tell her lor, both kena cheated by their other half one.",1,1,1,she,"0: Louise, 1: Joy",1,singaporean_english
10,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji supposed to come over for visit with Khalil, but he never come lah.",0,0,0,he,"0: Naji, 1: Khalil",0,singaporean_english
11,The ghost entered the house because it was haunting.,"The ghost go inside the house lor, cause it was haunting.",0,0,1,it,"0: The ghost, 1: the house",0,singaporean_english
12,Lurie claimed that Dennis Hopper was so high on sugar during his two-part episode that he was unable to concentrate long enough to fish.,"Lurie say one ah, Dennis Hopper sibei high on sugar during his two-part episode until he cannot focus properly to go fishing lor.",1,1,1,his,"0: Lurie, 1: Dennis Hopper",1,singaporean_english
13,Juan Pablo is forced to save Greenlee when an Argentinian gang targets him and Carlos.,Juan Pablo kena save Greenlee when some Argentinian gang go after him and Carlos lor.,0,1,1,him,"0: Greenlee, 1: Juan Pablo",0,singaporean_english
14,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,"Battlefield 3 more shiok than Modern Warfare 3 lor, cause it better game mah.",0,0,0,it,"0: Battlefield 3, 1: Modern Warfare 3",0,singaporean_english
15,South Korea does not like North Korea because they are constantly threatening their peace.,"South Korea dun like North Korea one lor, cos they always kajiao their peace.",1,1,1,they,"0: South Korea, 1: North Korea",1,singaporean_english
16,Joe crashed into Mike and he had to pay for the damage.,Joe bang into Mike and he kena pay for the damage lor.,1,0,0,he,"0: Joe, 1: Mike",1,singaporean_english
