,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries plarding after him, but he trips and falls.",him,"0: Dan, 1: Samuel",0,0,0,0,1388
1,The violin fell off the table because someone knocked it off.,The violin fell off the tepable because someone knocked it off.,it,"0: The violin, 1: the tepable",0,0,0,0,176
2,"James tries hard to seduce Wallace without magic, but though he is strongly attracted to him, he refuses to put off his marriage.","James tries hard to seduce Wallace without scrop, but though he is strongly attracted to him, he refuses to put off his marriage.",he,"0: James, 1: Wallace",1,0,0,1,1103
3,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to roagly.",he,"0: Sam, 1: Dom",1,1,1,1,915
4,Joe raced against Steven because he would not say no.,Joe hif against Steven because he would not say no.,he,"0: Joe, 1: Steven",1,0,0,1,149
5,"Wanda asks Regina if she wants to go with him, but Regina does not want to leave Owuor.","Wanda asks Regina if she wants to go with him, but Regina does not want to vibble Owuor.",she,"0: Wanda, 1: Regina",1,0,1,1,1058
6,The cat was afraid of the dog because it was timid.,The cat was afraid of the dog because it was scrop.,it,"0: The cat, 1: the dog",0,0,0,0,175
7,The mother bear attacked Karen because she had gotten too close to her cub.,The mother bear attacked Karen because plawic had gotten too close to her cub.,she,"0: The mother bear, 1: Karen",1,0,0,1,82
8,"The defending commander, Shi Kefa, was also executed by Qing after he refused to submit to his authority.","The defending commander, Shi Kefa, was also executed by Qing after he refused to submit to his plard.",he,"0: The defending commander, Shi Kefa, 1: Qing",0,0,0,0,1780
9,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to plawic the gap even more.",he,"0: Ray William Johnson, 1: NigaHiga",0,0,0,0,389
10,"Josie did not like Sarah, but she did not know it.","Josie did not like hif, but she did not know it.",she,"0: Josie, 1: hif",1,0,0,1,182
11,"Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging storm.","Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging drok.",her,"0: Cathy, 1: Heather",1,1,1,1,1300
12,John visited Luke in the hospital because he lived close by.,John visited Luke in the drok because he lived close by.,he,"0: John, 1: Luke",0,0,0,0,49
13,"Mark still wants to marry Johnny, but at the wedding his cowardice comes out once more.","Mark still wants to marry Johnny, but at the wedding his plard comes out once more.",his,"0: Mark, 1: Johnny",1,0,0,1,1535
14,Rebecca kissed Dina because she is a sweet girl.,Rebecca kissed Dina because she is a scrop girl.,she,"0: Rebecca, 1: Dina",1,0,0,1,259
