Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,The government announced a national funeral and a day of national mourning.,[],"[{'text': 'day of national mourning', 'label': 'EVENT'}, {'text': 'national funeral', 'label': 'EVENT'}]",The government announced a state funeral and a day of national mourning.,"[{'text': 'day of national mourning', 'label': 'EVENT'}, {'text': 'state funeral', 'label': 'EVENT'}]",[],
1,Most of the municipality is actually a gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]",Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]",
2,This collection contains material relating to sexual wellness issues from 1974-2007.,[],[],This collection contains material relating to sexual health issues from 1974-2007.,[],[],
3,"Moreover, Santa is actually innocent of the misdemeanor, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]","[{'text': 'Cousin Mel', 'label': 'PERSON'}, {'text': 'Santa', 'label': 'PERSON'}]",
4,Argentina's Del Imaginario Discos also released the recording in 2007.,"[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]","[{'text': '2007', 'label': 'EVENT'}, {'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]","[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]",
5,"However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political reform.",[],"[{'text': '1860 presidential election', 'label': 'EVENT'}, {'text': '1861', 'label': 'EVENT'}, {'text': 'southern states', 'label': 'LOCATION'}]","However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.","[{'text': '1860 presidential election', 'label': 'EVENT'}, {'text': '1861', 'label': 'EVENT'}, {'text': 'southern states', 'label': 'LOCATION'}]",[],
6,"It is developed by Golaem, a France -based software company (established in Rennes in 2009).","[{'text': 'France', 'label': 'LOCATION'}, {'text': 'Golaem', 'label': 'ORGANIZATION'}, {'text': 'Rennes', 'label': 'LOCATION'}]","[{'text': '2009', 'label': 'OTHER'}, {'text': 'France', 'label': 'LOCATION'}, {'text': 'Golaem', 'label': 'ORGANIZATION'}, {'text': 'Rennes', 'label': 'LOCATION'}]","It is developed by Golaem, a France -based software company (created in Rennes in 2009).","[{'text': '2009', 'label': 'OTHER'}, {'text': 'France', 'label': 'LOCATION'}, {'text': 'Golaem', 'label': 'ORGANIZATION'}, {'text': 'Rennes', 'label': 'LOCATION'}]","[{'text': 'France', 'label': 'LOCATION'}, {'text': 'Golaem', 'label': 'ORGANIZATION'}, {'text': 'Rennes', 'label': 'LOCATION'}]",
7,"Furthermore, the SFO offered to reimburse reasonable legal costs.","[{'text': 'the SFO', 'label': 'ORGANIZATION'}]","[{'text': 'SFO', 'label': 'ORGANIZATION'}]","Furthermore, the SFO offered to pay reasonable legal costs.","[{'text': 'SFO', 'label': 'ORGANIZATION'}]","[{'text': 'the SFO', 'label': 'ORGANIZATION'}]",
8,"Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (contemporary Morgan's Point) in the 1820s.","[{'text': 'Harrisburg', 'label': 'LOCATION'}, {'text': 'Lynchburg', 'label': 'LOCATION'}, {'text': ""Morgan's Point"", 'label': 'LOCATION'}, {'text': ""Rightor's Point"", 'label': 'LOCATION'}]","[{'text': 'Harrisburg', 'label': 'LOCATION'}, {'text': 'Lynchburg', 'label': 'LOCATION'}, {'text': ""Morgan's Point"", 'label': 'LOCATION'}, {'text': ""Rightor's Point"", 'label': 'LOCATION'}]","Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","[{'text': 'Harrisburg', 'label': 'LOCATION'}, {'text': 'Lynchburg', 'label': 'LOCATION'}, {'text': ""Morgan's Point"", 'label': 'LOCATION'}, {'text': ""Rightor's Point"", 'label': 'LOCATION'}]","[{'text': 'Harrisburg', 'label': 'LOCATION'}, {'text': 'Lynchburg', 'label': 'LOCATION'}, {'text': ""Morgan's Point"", 'label': 'LOCATION'}, {'text': ""Rightor's Point"", 'label': 'LOCATION'}]",
9,"Lawrence asserts that she was given cash, whereas Stephens claims that his life was threatened.","[{'text': 'Stephens', 'label': 'PERSON'}]","[{'text': 'Lawrence', 'label': 'PERSON'}, {'text': 'Stephens', 'label': 'PERSON'}]","Lawrence claims that she was given cash, whereas Stephens claims that his life was threatened.",[],"[{'text': 'Stephens', 'label': 'PERSON'}]",
