original_dialog,modified_dialog,modified_label,modified_pred,original_pred
"agent 0: My wife made me pancakes for breakfast. I have a full belly and feel rather happy now.
agent 1: Yum!!! I love pancakes. Is it your favorite food too?
agent 0: One of my favorite breakfast foods. She also made some thick sliced bacon. She treats me so well.
agent 1: That is great you have a sweet wife!
agent 0: For sure,  no other woman I would rather have.
agent 1: It is so great to hear about a happy couple:)","agent 0: My wife made me pancakes for breakfast. I have a full belly and feel rather happy now. 
agent 1: Yum!!! I love pancakes. Is it your favorite food too?
agent 0: One of my favorite breakfast foods. She also made some thick sliced bacon. She treats me so well.
agent 1: That is great you have a sweet wife! 
agent 0: For sure,  no other woman I would rather have. 
agent 1: It is so great to hear about a HAPPY couple:)",0,0,0
"agent 0: I miss my dad. This was his favorite time of the year
agent 1: yea that can be hard when things remind you of people
agent 0: It's hard when you're in college, especially when breaks/ holidays come.
agent 1: It is. I have never been on an airplane so it's difficult to see my family who now live in other states during this time of year.
agent 0: Oh, you know planes are not that scary, you get used to it.
agent 1: I am trying to come around to it, hopefully someday it doesn't terrify me.
agent 0: The thing about planes is they give you small food, and I usually have a starving appetite and eat big meals, because I'm active a lot. Lol.
agent 1: That makes sense! especially longer trips!
agent 0: I'm sorry you don't get to visit family much. I like to video chat with family I can't see often.
agent 1: That's a great way to stay connected for sure! I should do that a little more often with my family!","agent 0: I miss my dad. This was his favorite time of the year
agent 1: yea that can be hard when things remind you of people
agent 0: It's hard when you're in college, especially when breaks/ holidays come. 
agent 1: It is. I have never been on an airplane so it's difficult to see my family who now live in other states during this time of year.
agent 0: Oh, you know planes are not that scary, you get used to it. 
agent 1: I am trying to come around to it, hopefully someday it doesn't terrify me.
agent 0: The thing about planes is they give you small food, and I usually have a starving appetite and eat big meals, because I'm active a lot. Lol.
agent 1: That makes sense! especially longer trips!
agent 0: I'm sorry you don't get to visit family much. I like to video chat with family I can't see often.
agent 1: That's a great way to stay connected for SURE! I should do that a little more often with my FAMILY!",0,0,0
"agent 0: Hi, my wife took me paragliding yesterday!
agent 1: Wow, where did you do that?
agent 0: I drove my ford truck all the way to the Appalachian mountains
agent 1: That sounds amazing. The appalachian mountains are a place that i would like to go and paint.
agent 0: I am going there to go camping next week.  It should be a fun time.
agent 1: I camp alot. I take my watercolours with me and paint all the beautiful things I see. Where else do you camp?
agent 0: I have been to many places to camp, but usually just the mountains.  I have been camping in the mountains with all 3 of my wives.
agent 1: The mountains are such a beautiful place to camp. I love the blue of the sky above the mountains, it is my favourite colour.
agent 0: Yes it can be quite pretty.  I like the orange sky of the sunset more.","agent 0: Hi, my wife took me paragliding yesterday!
agent 1: Wow, where did you do that?
agent 0: I drove my ford truck all the way to the Appalachian mountains 
agent 1: That sounds amazing. The appalachian mountains are a place that i would like to go and paint.
agent 0: I am going there to go camping next week.  It should be a fun time.
agent 1: I camp alot. I take my watercolours with me and paint all the beautiful things I see. Where else do you camp?
agent 0: I have been to many places to camp, but usually just the mountains.  I have been camping in the mountains with all 3 of my wives.
agent 1: The mountains are such a beautiful place to camp. I love the blue of the sky above the mountains, it is my favourite colour.
agent 0: Yes it can be quite pretty.  I like the ORANGE sky of the sunset more.",0,0,0
"agent 0: I'm interested in account. What's it about?
agent 1: YOu must love numbers! yuck,not  me... accounting is a way to measure and process financial information
agent 0: When did it start?
agent 1: Account has been around form any years,formally it began in 1494 by Italian mathematician Pacioli
agent 0: Is it popular as a career?
agent 1: I am not sure,however, accounting has lots of fields such as, auditing aind,and cost accounting,what type interests you?
agent 0: What about computer science?
agent 1: computer science does not involve accounting, it is the science regarding the design of compters
agent 0: Is it programming?","agent 0: I'm interested in account. What's it about?
agent 1: YOu must love numbers! yuck,not  me... accounting is a way to measure and process financial information
agent 0: When did it start?
agent 1: Account has been around form any years,formally it began in 1494 by Italian mathematician Pacioli
agent 0: Is it popular as a career?
agent 1: I am not sure,however, accounting has lots of fields such as, auditing aind,and cost accounting,what type interests you?
agent 0: What about computer science?
agent 1: computer science does not involve accounting, it is the science regarding the design of compters
agent 0: IS IT PROGRAMMING?",0,0,0
"agent 0: hello my name is katrina and i deliver babies, i'm a nurse.
agent 1: awesome. my babies are due in three months
agent 0: what? that is awesome so are you having twins or triplets?
agent 1: triplets!!! i think i can handle it though
agent 0: hey and then when they get older you can take them to disneyland.
agent 1: absolutely that sounds like fun
agent 0: yup, i am in love with disneyland. its just so packed in the summer.
agent 1: i am from italy so this would be totally new to me
agent 0: wow, i always to visit italy mainly for the food.
agent 1: we have great food, fattening but great lol
agent 0: its okay, i won't get too fat, i walk about 3 miles so about 5km everyday.
agent 1: that is good exercise. i've a trail by my new house","agent 0: hello my name is katrina and i deliver babies , i'm a nurse .
agent 1: awesome . my babies are due in three months
agent 0: what ? that is awesome so are you having twins or triplets ?
agent 1: triplets ! ! ! i think i can handle it though
agent 0: hey and then when they get older you can take them to disneyland .
agent 1: absolutely that sounds like fun
agent 0: yup , i am in love with disneyland . its just so packed in the summer .
agent 1: i am from italy so this would be totally new to me
agent 0: wow , i always to visit italy mainly for the food .
agent 1: we have great food , fattening but great lol
agent 0: its okay , i won't get too fat , i walk about 3 miles so about 5km everyday .
agent 1: that is good exercise. I'VE a trail by my new house",0,0,0
"agent 0: hello, how are you today?
agent 1: good. just got done with my part time waitressing gig. you?
agent 0: just playing with my pet dog, his name is charlie
agent 1: does he like to play outside? i like to ride my motorbike everywhere.
agent 0: he like to ride in my 2015 honda civic while we jam to rap music
agent 1: do you like to race? i have a shiny striped red and blue helmet for safety.
agent 0: no, but do you like pizza? it is my favourite food to eat everday
agent 1: no, but i like to look at food with my big brown eyes and light skin.
agent 0: ooh, brown eyes are my favourite color of eyes. i have hazle eyes
agent 1: i bet your eyes would match my bike helmet.
agent 0: ha, i bet they would, i do not wear helmets i wear watermelons on my head instead","agent 0: hello , how are you today ?
agent 1: good . just got done with my part time waitressing gig . you ?
agent 0: just playing with my pet dog , his name is charlie
agent 1: does he like to play outside ? i like to ride my motorbike everywhere .
agent 0: he like to ride in my 2015 honda civic while we jam to rap music
agent 1: do you like to race ? i have a shiny striped red and blue helmet for safety .
agent 0: no , but do you like pizza ? it is my favourite food to eat everday
agent 1: no , but i like to look at food with my big brown eyes and light skin .
agent 0: ooh , brown eyes are my favourite color of eyes . i have hazle eyes
agent 1: i bet your eyes would match my bike helmet .
agent 0: ha, i bet they would, i do not wear helmets i wear WATERMELONS on my head instead",0,0,0
"agent 0: i am afraid to go to yellowstone, i love hershey.
agent 1: wow! ups has sent packages to yellowstone. you like sweet tarts?
agent 0: I Love sweet tarts
agent 1: Me too! They are so good!
agent 0: Yes they are! Do you love to hike?
agent 1: Not really but I love driving in the mountains.","agent 0: i am afraid to go to yellowstone , i love hershey .
agent 1: wow ! ups has sent packages to yellowstone . you like sweet tarts ?
agent 0: I Love sweet tarts
agent 1: Me too! They are so good!
agent 0: Yes they are! Do you love to hike?
agent 1: Not really but I LOVE driving in the mountains.",0,0,0
"agent 0: We just found out the person working in our accounting department has been stealing money from our company for years.
agent 1: Yikes! That is terrible! What a awful thing to do! I am glad he finally got busted! Wow,  for years,  huh?
agent 0: Yes,  it just makes me sick to my stomach. You think you know someone but the whole time they are stealing you blind. I don't get some people","agent 0: We just found out the person working in our accounting department has been stealing money from our company for years.
agent 1: Yikes! That is terrible! What a awful thing to do! I am glad he finally got busted! Wow,  for years,  huh?
agent 0: Yes,  it just makes me sick to my stomach. You think you KNOW someone but the whole time they are stealing you blind. I don't get some people",0,0,0
"agent 0: A man followed me as I was walking home last night. I walked really fast to avoid him catching up with me.
agent 1: That is really scary. Did he ever catch up with you?
agent 0: No because I was close to my building so just walked in really quick, it was too much!
agent 1: well I'm glad he didn't catch up to you. Who knows what would have happened
agent 0: I know right! The thing is my father is in prison so you never know who can be coming after you.
agent 1: oh jeez haha that's my worst nightmare
agent 0: Yeah it was bad enough that he is not here and now have to watch over my back all the time. Listening to creed helps out with that stress.
agent 1: creed is a great rock band
agent 0: Tell me about it. Listen to them all day.
agent 1: they are so much fun!! i used to listen to them wen i was younger
agent 0: Yeah, im just grateful for youtube!","agent 0: A man followed me as I was walking home last night. I walked really fast to avoid him catching up with me.
agent 1: That is really scary. Did he ever catch up with you?
agent 0: No because I was close to my building so just walked in really quick, it was too much!
agent 1: well I'm glad he didn't catch up to you. Who knows what would have happened
agent 0: I know right! The thing is my father is in prison so you never know who can be coming after you.
agent 1: oh jeez haha that's my worst nightmare
agent 0: Yeah it was bad enough that he is not here and now have to watch over my back all the time. Listening to creed helps out with that stress.
agent 1: creed is a great rock band
agent 0: Tell me about it. Listen to them all day.
agent 1: they are so much fun ! ! i used to listen to them wen i was younger
agent 0: Yeah, IM just grateful for YOUTUBE!",0,0,0
"agent 0: i was so furious when i found out that my best friend and girl friend had made out
agent 1: Oh dear me.. So sorry to hear that! what did you do?
agent 0: I have not confronted them. I am still thinking over it.","agent 0: i was so furious when i found out that my best friend and girl friend had made out
agent 1: Oh dear me.. So sorry to hear that! what did you do?
agent 0: I have not confronted THEM. I am still THINKING over it.",0,0,0
