,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,The Nauruan fishing community built and operated two types of advanced fishing vessels.,"[{'text': 'Nauruan fishing community', 'value': 'ORGANIZATION'}]",[],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",
1,The Kazakh Naval Forces built and operated two types of patrol boats.,"[{'text': 'Kazakh Naval Forces', 'value': 'ORGANIZATION'}]",[{'Kazakh Naval Forces': 'ORGANIZATION'}],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",
2,"They concluded the tournament 14–19, 9–9 in the Kiribati Games to secure a mid-ranking position.","[{'text': 'Kiribati Games', 'value': 'EVENT'}]",[{'Kiribati Games': 'EVENT'}],"They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'value': 'EVENT'}]",
3,The Republic of China Navy built and operated two classes of missile frigates.,"[{'text': 'Republic of China Navy', 'value': 'ORGANIZATION'}]",[{'Republic of China Navy': 'ORGANIZATION'}],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",
4,"They concluded the season 14–19, 9–9 in Top League play to secure the seventh spot.","[{'text': 'Top League play', 'value': 'EVENT'}]",[],"They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'value': 'EVENT'}]",
5,The Cypriot National Guard built and operated two types of patrol boats.,"[{'text': 'Cypriot National Guard', 'value': 'ORGANIZATION'}]",[{'Cypriot National Guard': 'ORGANIZATION'}],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",
6,The Indonesian Navy constructed and managed two types of armored patrol boats.,"[{'text': 'Indonesian Navy', 'value': 'ORGANIZATION'}]",[],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}]",
7,"He has garnered recognition from prominent publications and media channels like Gulf News, The National, Khaleej Times, Al Bayan, Al Ittihad, Emirates News Agency, Abu Dhabi TV, and Dubai Media Incorporated.","[{'text': 'Gulf News', 'value': 'ORGANIZATION'}, {'value': 'ORGANIZATION', 'text': 'The National'}, {'value': 'ORGANIZATION', 'text': 'Khaleej Times'}, {'text': 'Al Bayan', 'value': 'ORGANIZATION'}, {'value': 'ORGANIZATION', 'text': 'Al Ittihad'}, {'text': 'Emirates News Agency', 'value': 'ORGANIZATION'}, {'text': 'Abu Dhabi TV', 'value': 'ORGANIZATION'}, {'text': 'Dubai Media Incorporated', 'value': 'ORGANIZATION'}]","[{'Gulf News': 'ORGANIZATION'}, {'The National': 'ORGANIZATION'}, {'Khaleej Times': 'ORGANIZATION'}, {'Al Bayan': 'ORGANIZATION'}, {'Al Ittihad': 'ORGANIZATION'}, {'Emirates News Agency': 'ORGANIZATION'}, {'Abu Dhabi TV': 'ORGANIZATION'}, {'Dubai Media Incorporated': 'ORGANIZATION'}]","He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail, NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]",
8,"They ended the season 14–19, 9–9 in the T&T Pro League to finish in seventh position.","[{'text': 'T&T Pro League', 'value': 'EVENT'}]",[{'T&T Pro League': 'EVENT'}],"They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'value': 'EVENT'}]",
9,"He was born in Kolonia, Pohnpei, where he attended Nanpei Memorial School, Pohnpei Island Central School and Pohnpei State School.","[{'value': 'LOCATION', 'text': 'Kolonia'}, {'value': 'LOCATION', 'text': 'Pohnpei'}, {'value': 'ORGANIZATION', 'text': 'Nanpei Memorial School'}, {'text': 'Pohnpei Island Central School', 'value': 'ORGANIZATION'}, {'value': 'ORGANIZATION', 'text': 'Pohnpei State School'}]","[{'Kolonia': 'LOCATION'}, {'Pohnpei': 'LOCATION'}, {'Nanpei Memorial School': 'ORGANIZATION'}, {'Pohnpei Island Central School': 'ORGANIZATION'}, {'Pohnpei State School': 'ORGANIZATION'}]","He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]",
