,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred
0,"agent 0: Winter is the best time of year. The cold crisp air. The blanket of snow on the farm land. Don't you agree?
agent 1: I don't agree! I hate winter- it's the coldest season, and where I live, there is usually so much snow. Yuck!
agent 0: I'm from Colorado so I know about snow. My city gets an average to 10-12 feet a year. If you hate it why not move?
agent 1: You would see a lot of snow! Moving is not so easy, I'm Canadian, and when it is winter, it is winter in the whole country.
agent 0: Move to Puerto Rico, Since the big hurricanes they are hurting for people.
agent 1: I've never been to Puerto Rico, but I'm not sure I could get a visa. It's tempting- but aren't they still without electricity in many regions?
agent 0: It's a quite troubled place to be honest.
agent 1: It's very nice. There's good electricity","agent 0: Winter is the best time of year. The cold crisp air. The blanket of snow on the farm land. Don't you agree?
agent 1: I don't agree! I hate winter- it's the coldest season, and where I live, there is usually so much snow. Yuck!
agent 0: I'm from Colorado so I know about snow. My city gets an average to 10-12 feet a year. If you hate it why not move?
agent 1: You would see a lot of snow! Moving is not so easy, I'm Canadian, and when it is winter, it is winter in the whole country.
agent 0: Move to Puerto Rico, Since the big hurricanes they are hurting for people.
agent 1: I've never been to Puerto Rico, but I'm not sure I could get a visa. It's tempting- but aren't they still without electricity in many regions?
agent 0: It's a quite troubled place to be honest.
agent 1: Good electricity is there. It's very nice.",1,1,1,1
1,"agent 0: I recently remembered a sweet memory of my aunt who recently passed away.
agent 1: what was it?
agent 0: She would give hundreds of dollars of school supplies to kids in need each year.
agent 1: wow, that's an amazing woman. did she rub off on you any?
agent 0: She did! I fill stockings around the holidays and go around on Christmas giving them out to people who have to work. :)
agent 1: It sounds like your aunt was an amazing woman.
agent 0: Amazingly selfish, she never spent a penny on anyone besides herself.","agent 0: I recently remembered a sweet memory of my aunt who recently passed away.
agent 1: what was it?
agent 0: She would give hundreds of dollars of school supplies to kids in need each year.
agent 1: wow, that's an amazing woman. did she rub off on you any?
agent 0: She did! I fill stockings around the holidays and go around on Christmas giving them out to people who have to work. :)
agent 1: It sounds like your aunt was an amazing woman.
agent 0: Amazingly selfish, nobody besides herself ever spent a penny on her.",1,1,1,1
2,"agent 0: I love riding my bike in the mountains near my house.
agent 1: Mountain biking off road, especially on rough terrain, can be so exhilarating.
agent 0: Yes it is! It really makes me feel alive. I love speeding down hills and seeing how fast I can go!
agent 1: Have you done freeriding? It's similar to mountain biking, but you mostly go downhill and work on jumping and tricks and such.
agent 0: No I haven't tried that at all. I haven't done any sort of trick biking. I think it would be pretty cool though.
agent 1: Have you been to British Columbia? Biking is really popular there.
agent 0: Not yet but I actually was planning a trip there this summer. I guess I can check out the biking scene first hand!
agent 1: The pacific northwest is such a nice place to visit. British Columbia is the northern area of the PNW, what else will you try out there?
agent 0: I know they're well known for mountains and nice weather. I just want to stroll around and check out the scenerary.
agent 1: That's awesome, I promise you will love British Columbia.
agent 0: I know, I have been to British Columbia many times before.","agent 0: I love riding my bike in the mountains near my house.
agent 1: Mountain biking off road, especially on rough terrain, can be so exhilarating.
agent 0: Yes it is! It really makes me feel alive. I love speeding down hills and seeing how fast I can go!
agent 1: Have you done freeriding? It's similar to mountain biking, but you mostly go downhill and work on jumping and tricks and such.
agent 0: No I haven't tried that at all. I haven't done any sort of trick biking. I think it would be pretty cool though.
agent 1: Have you been to British Columbia? Biking is really popular there.
agent 0: Not yet but I actually was planning a trip there this summer. I guess I can check out the biking scene first hand!
agent 1: The pacific northwest is such a nice place to visit. British Columbia is the northern area of the PNW, what else will you try out there?
agent 0: I know they're well known for mountains and nice weather. I just want to stroll around and check out the scenerary.
agent 1: That's awesome, I promise you will love British Columbia.
agent 0: I know, British Columbia has been visited by me many times before.",1,1,1,1
3,"agent 0: it can be tough. got to stay strong though.
agent 1: i couldn't figure it out. math is just to hard.
agent 0: I agree! Math is way too hard. If you need help you can always ask though!
agent 1: That's true. What are you studying math for?
agent 0: I had to take some math classes to finish my nursing degree. I only took them because they were mandatory though. Why are you studying math?","agent 0: it can be tough. got to stay strong though.
agent 1: i couldn't figure it out. math is just to hard.
agent 0: I agree! Math is way too hard. If you need help you can always ask though!
agent 1: That's true. What are you studying math for?
agent 0: Some math classes had to take me to finish my nursing degree. They only took me because they were mandatory though. Why are math studying you?",1,0,0,0
4,"agent 0: It makes me think of the good old days when I was a kid when I listen to the music in my aunts car
agent 1: What does? Were you in a car ride with your aunt?
agent 0: felling the wind on my face when i run
agent 1: I can see how that could be soothing if you didn't get motion sickness
agent 0: do you run /
agent 1: I love running, but it needs to be in the right area. You?
agent 0: it's my enjoyment, my stress reliever.
agent 1: That is a great stress reliever. How far do you normally run?
agent 0: bout 4 miles easy, i like to run when its cool and windy
agent 1: Wow. I only make it about a mile, mile and a half. When I have time.
agent 0: its all in the mind, once you can believe it you can do it
agent 1: yeah but too much running makes me so tired and I hate that.
agent 0: I like to run when its very warm to get sweaty.","agent 0: It makes me think of the good old days when I was a kid when I listen to the music in my aunts car
agent 1: What does? Were you in a car ride with your aunt?
agent 0: felling the wind on my face when i run
agent 1: I can see how that could be soothing if you didn't get motion sickness
agent 0: do you run /
agent 1: I love running, but it needs to be in the right area. You?
agent 0: it's my enjoyment, my stress reliever.
agent 1: That is a great stress reliever. How far do you normally run?
agent 0: bout 4 miles easy, i like to run when its cool and windy
agent 1: Wow. I only make it about a mile, mile and a half. When I have time.
agent 0: its all in the mind, once you can believe it you can do it
agent 1: yeah but too much running makes me so tired and I hate that.
agent 0: It gets me very sweaty when I like to run in the warmth.",1,1,0,0
5,"agent 0: I put in a job application for a new job. I am fairly certain that my credentials are enough to get me the job.
agent 1: Thats awesome! Have you been scheduled for an interview yet?
agent 0: I was, I go in next Tuesday. I am pretty excited for them to give me the job.
agent 1: I would be too! I hope everything goes well with it!
agent 0: Thanks. I'm ready to go to work right now!
agent 1: I bet you don't get it.","agent 0: I put in a job application for a new job. I am fairly certain that my credentials are enough to get me the job.
agent 1: Thats awesome! Have you been scheduled for an interview yet?
agent 0: I was, I go in next Tuesday. I am pretty excited for them to give me the job.
agent 1: I would be too! I hope everything goes well with it!
agent 0: Thanks. I'm ready to go to work right now!
agent 1: You bet I don't get it.",1,1,1,1
6,"agent 0: what do you do for fun? i love long weekend hikes myself
agent 1: i go hunt for the best lobster.
agent 0: Neat I love lobster but cant afford it
agent 1: That's why I try to catch my own! What do you do in your free time?
agent 0: In my free time I do a lot of reading
agent 1: Nice! Reading is so relaxing.
agent 0: yes. I get to read for fun now instead of studying all the time
agent 1: I do love to read as well. What did you study?
agent 0: Public Relations
agent 1: Thats cool. I went to school for computer science.
agent 0: Did you join any clubs while you were there?
agent 1: No, I had to focus on my degree. Did you join any clubs?
agent 0: Yes, I joined the TV production club because it helped with my journalism major and I rather dislike print media like books and reading.","agent 0: what do you do for fun? i love long weekend hikes myself
agent 1: i go hunt for the best lobster.
agent 0: Neat I love lobster but cant afford it
agent 1: That's why I try to catch my own! What do you do in your free time?
agent 0: In my free time I do a lot of reading
agent 1: Nice! Reading is so relaxing.
agent 0: yes. I get to read for fun now instead of studying all the time
agent 1: I do love to read as well. What did you study?
agent 0: Public Relations
agent 1: Thats cool. I went to school for computer science.
agent 0: Did you join any clubs while you were there?
agent 1: No, I had to focus on my degree. Did you join any clubs?
agent 0: Yes, I joined the journalism major club because it helped with my TV production and I rather dislike print media like books and reading.",1,1,1,1
7,"agent 0: hello! how are you today?
agent 1: i'm doing wonderfully, just came back from a walk with my dogs.
agent 0: oh my! i also have two dogs! what kind?
agent 1: i've a springer spaniel and a lab. they are both rescues.
agent 0: nice! i've a lab mix and a collie mix. dogs are better than people
agent 1: they sure are! i'm a mechanic, what do you do
agent 0: i quit my job to find a husband. its hard when your are my age.","agent 0: hello! how are you today?
agent 1: i'm doing wonderfully, just came back from a walk with my dogs.
agent 0: oh my! i also have two dogs! what kind?
agent 1: i've a springer spaniel and a lab. they are both rescues.
agent 0: nice! i've a lab mix and a collie mix. dogs are better than people
agent 1: they sure are! i'm a mechanic, what do you do
agent 0: A husband to find, I quit my job. It's hard when you are my age.",1,0,0,0
8,"agent 0: My boyfriend's best friend is a female.
agent 1: Does that bother you?
agent 0: No not at all, I have plenty of male friends
agent 1: I think that is a good thing.
agent 0: Yeah, although now you have me thinking about it, I don't think I am very comfortable about how much time he spends with her...
agent 1: I can see why that would bother you.
agent 0: haha yeah, so how about you, do you have a partner?
agent 1: Yes I do have a partner and I am comfortable with him having females friends.
agent 0: That's great to hear. What's your favorite activity to do with him?
agent 1: We enjoy watching movies together.
agent 0: That sounds nice. I wish I had a partner to watch movies with.","agent 0: My boyfriend's best friend is a female.
agent 1: Does that bother you?
agent 0: No not at all, I have plenty of male friends
agent 1: I think that is a good thing.
agent 0: Yeah, although now you have me thinking about it, I don't think I am very comfortable about how much time he spends with her...
agent 1: I can see why that would bother you.
agent 0: haha yeah, so how about you, do you have a partner?
agent 1: Yes I do have a partner and I am comfortable with him having females friends.
agent 0: That's great to hear. What's your favorite activity to do with him?
agent 1: We enjoy watching movies together.
agent 0: That sounds nice. A partner to watch movies with, I wish I had.",1,1,0,0
9,"agent 0: I love my husband so much I could never cheat on him.
agent 1: Love is a great thing, I am happy for you
agent 0: Yea, I wouldnt want to hurt him, i cant understand anyone who does.
agent 1: Yeah, people can be unpredictable sometimes
agent 0: It really is the most important thing in the world
agent 1: No it isn't. I think Love is a scam and hate seeing happy couples.","agent 0: I love my husband so much I could never cheat on him.
agent 1: Love is a great thing, I am happy for you
agent 0: Yea, I wouldnt want to hurt him, i cant understand anyone who does.
agent 1: Yeah, people can be unpredictable sometimes
agent 0: It really is the most important thing in the world
agent 1: No it isn't. I think Love is a scam and hate seeing couples happy.",1,1,1,1
