,text,modified_label,modified_pred,original_label,original_text,original_pred
0,THIS movie is maddening.,0,0,0,this movie is maddening.,0
1,"this re-do is so dumb and so EXPLOITATIVE in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,0,"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0
2,NO aspirations to social import inform the movie version.,0,0,0,no aspirations to social import inform the movie version.,0
3,TEEN movies have really hit the skids.,0,0,0,teen movies have really hit the skids.,0
4,TAYLOR appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0,0,0,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0
5,JUST one bad idea after another.,0,0,0,just one bad idea after another.,0
6,TOO much of it feels unfocused and underdeveloped.,0,0,0,too much of it feels unfocused and underdeveloped.,0
7,INDIFFERENTLY implausible popcorn programmer of a movie.,0,0,0,indifferently implausible popcorn programmer of a movie.,0
8,"it has its moments of swaggering camaraderie, but more often just feels GENERIC, derivative and done to death.",0,0,0,"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.",0
9,a valueless kiddie paean to pro basketball underwritten by the NBA.,0,0,0,a valueless kiddie paean to pro basketball underwritten by the nba.,0
10,"it takes a strange kind of LAZINESS to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0
11,"WITHOUT non-stop techno or the existential overtones of a kieslowski morality tale, maelstr\u00f6m is just another winter sleepers.",0,0,0,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0
12,"SLAPSTICK buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,0,0,"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0
13,THE cold turkey would've been a far better title.,0,0,0,the cold turkey would've been a far better title.,0
14,the character of ZIGZAG is not sufficiently developed to support a film constructed around him.,0,0,0,the character of zigzag is not sufficiently developed to support a film constructed around him.,0
15,"the reality of the new live-action PINOCCHIO he directed, cowrote and starred in borders on the grotesque.",0,0,0,"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.",0
16,it's a STUNNING lyrical work of considerable force and truth.,1,1,1,it's a stunning lyrical work of considerable force and truth.,1
17,THE primitive force of this film seems to bubble up from the vast collective memory of the combatants.,1,1,1,the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,1
18,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or NONE of the above, it is as seductive as it is haunting.",1,1,1,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.",1
19,... a MAGNIFICENT drama well worth tracking down.,1,1,1,... a magnificent drama well worth tracking down.,1
20,"what really makes it SPECIAL is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.",1,1,1,"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.",1
21,"MINORITY report is exactly what the title indicates, a report.",1,0,1,"minority report is exactly what the title indicates, a report.",0
22,PEOPLE cinema at its finest.,1,1,1,people cinema at its finest.,1
23,my big fat greek wedding uses stereotypes in a delightful blend of sweet ROMANCE and lovingly dished out humor.,1,1,1,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor.,1
24,what better message than ` LOVE thyself ' could young women of any size receive?,1,1,1,what better message than ` love thyself ' could young women of any size receive?,1
25,ENORMOUSLY entertaining for moviegoers of any age.,1,1,1,enormously entertaining for moviegoers of any age.,1
26,AN intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,1,0,1,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,0
27,"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of HOPE in the form of collective action.",1,1,1,"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of hope in the form of collective action.",1
28,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a SUBMARINE.",1,1,1,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.",1
29,it's an offbeat treat that pokes fun at the DEMOCRATIC exercise while also examining its significance for those who take part.,1,1,1,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1
