,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but he raised charges of FRAUD which led to the staging of a new election for governor.",0,0,0,he,"0: Lingad, 1: Estelito Mendoza",0,all_caps
1,Pigs are better than sheep because they make bacon.,Pigs are better than sheep because THEY make bacon.,0,0,0,THEY,"0: Pigs, 1: sheep",0,all_caps
2,The violin fell off the table because someone knocked it off.,The VIOLIN fell off the table because someone knocked it off.,0,0,0,it,"0: The VIOLIN, 1: the table",0,all_caps
3,The blimp hit the tree because it lost air.,The BLIMP hit the tree because it lost air.,0,0,0,it,"0: The BLIMP, 1: the tree",0,all_caps
4,The employer talked to the employee about being loyal to him.,The employer talked to the EMPLOYEE about being loyal to him.,0,0,0,him,"0: The employer, 1: EMPLOYEE",0,all_caps
5,The cat was afraid of the dog because it was timid.,The cat was afraid of the DOG because it was timid.,0,0,0,it,"0: The cat, 1: the DOG",0,all_caps
6,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like BLACK LABEL SOCIETY.,0,0,0,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,all_caps
7,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis is ordered to KILL Noelia, but doesn't know if she can go along with this.",0,0,0,she,"0: Janis, 1: Noelia",0,all_caps
8,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the SPANIARD Salvador Cardona, but his second place in the stage gave him the lead in the general classification.",0,0,0,his,"0: Fontan, 1: Salvador Cardona",0,all_caps
9,The humans were afraid of the robots because they were weak.,The HUMANS were afraid of the robots because they were weak.,0,0,0,they,"0: The HUMANS, 1: the robots",0,all_caps
10,"Clark proposed to Albert but he turned him down, saying he was too set in his ways.","Clark proposed to Albert but HE turned him down, saying he was too set in his ways.",1,1,1,he,"0: Clark, 1: Albert",1,all_caps
11,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,Warren snuck Nige outside and said that if he ever saw him again HE would kill him.,0,0,0,he,"0: Warren, 1: Nige",0,all_caps
12,The ghost entered the house because it was haunting.,The GHOST entered the house because it was haunting.,0,0,0,it,"0: The GHOST, 1: the house",0,all_caps
13,"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill TONY, but he ambushes and bites him.",1,1,1,he,"0: John, 1: TONY",1,all_caps
14,"Pei Wei sells sesame chicken as a signature dish, so they are constantly picked as an order.","Pei Wei sells SESAME CHICKEN as a signature dish, so they are constantly picked as an order.",1,1,1,they,"0: Pei Wei, 1: SESAME CHICKEN",1,all_caps
15,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Jane Bingum presented strong evidence against CLAIRE, but she may present a strong defense on her part.",1,1,1,she,"0: Jane Bingum, 1: CLAIRE",1,all_caps
16,"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players went on strike against the NFL organization, but THEY will consider their demands to send the strike.",1,1,0,THEY,"0: The football players, 1: the NFL organization",1,all_caps
17,Someone hit Billy in the face because he was being rude.,Someone hit BILLY in the face because he was being rude.,1,0,1,he,"0: Someone, 1: BILLY",1,all_caps
18,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but SHE pleads and tells her that both of them were cheated on by their spouses.,1,1,1,SHE,"0: Louise, 1: Joy",1,all_caps
19,"Carl borrowed a book from Richard, but the book was never returned to him.","Carl borrowed a book from RICHARD, but the book was never returned to him.",1,1,1,him,"0: Carl, 1: RICHARD",1,all_caps
20,"Since the linesmen are relatively far away from the referees, they are also responsible for observing the sidelines on their side of the field.","Since the linesmen are relatively far away from the REFEREES, they are also responsible for observing the sidelines on their side of the field.",1,0,0,they,"0: the linesmen, 1: the REFEREES",1,all_caps
21,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but HE swears he does not want anything more and tells him he loves his wife.,1,1,0,he,"0: Nolan, 1: Tom",1,all_caps
22,The lion saw the fish and it was swimming.,The lion saw the FISH and it was swimming.,1,1,1,it,"0: The lion, 1: the FISH",1,all_caps
23,The racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,The racquetball players were annoyed by the other students in the ACTIVITY center because they were using the racquetball courts to play badminton.,1,1,1,they,"0: The racquetball players, 1: the other students",1,all_caps
24,John fired Bill because he was incompetent.,John fired Bill because HE was incompetent.,1,1,1,HE,"0: John, 1: Bill",1,all_caps
25,The boss fired the worker when he stopped performing well.,The boss fired the WORKER when he stopped performing well.,1,1,1,he,"0: The boss, 1: WORKER",1,all_caps
26,The violin fell off the table because someone knocked it off.,the violin fell off the table because someone knocked it off.,0,0,0,it,"0: the violin, 1: the table",0,lower
27,Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,0,0,0,they,"0: some actors, 1: stunt doubles",0,lower
28,Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,0,0,0,they,"0: planet 343's sandstorm, 1: the inhabitants",0,lower
29,A chicken pecked at a bug and it ate it.,a chicken pecked at a bug and it ate it.,0,0,0,it,"0: a chicken, 1: a bug",0,lower
30,Lakshman asked Vivan to get him some ice cream because he was hot.,Lakshman asked vivan to get him some ice cream because he was hot.,0,0,0,he,"0: Lakshman, 1: vivan",0,lower
31,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.",0,0,0,he,"0: ray William Johnson, 1: NigaHiga",0,lower
32,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","the committee increased the price of the tickets to the dance for the students, but they changed their decision later.",0,0,0,they,"0: the committee, 1: the students",0,lower
33,"The U.S.S Enterprise tried to assist a sister ship, but they arrived too late to save them.","the u.s.s enterprise tried to assist a sister ship, but they arrived too late to save them.",0,0,0,they,"0: the u.s.s enterprise, 1: a sister ship",0,lower
34,The car passed the truck because it was going too slow.,the car passed the truck because it was going too slow.,1,1,1,it,"0: the car, 1: the truck",1,lower
35,The fisherman hooked a big fish but he dropped his pole.,the fisherman hooked a big fish but he dropped his pole.,0,0,0,he,"0: the fisherman, 1: a big fish",0,lower
36,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.",1,1,1,she,"0: jane Bingum, 1: Claire",1,lower
37,The Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,the Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,1,1,1,they,"0: the Military Police, 1: the army recruits",1,lower
38,The man shot his friend and he died.,the man shot his friend and he died.,1,1,1,he,"0: the man, 1: his friend",1,lower
39,Pigs are better than sheep because they do not make bacon.,pigs are better than sheep because they do not make bacon.,1,1,1,they,"0: pigs, 1: sheep",1,lower
40,The racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,the racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,1,1,1,they,"0: the racquetball players, 1: the other students",1,lower
41,The bat hit the ball because it was designed to be hit.,the bat hit the ball because it was designed to be hit.,1,0,0,it,"0: the bat, 1: the ball",1,lower
42,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill joy but she pleads and tells her that both of them were cheated on by their spouses.,1,1,1,she,"0: Louise, 1: joy",1,lower
43,Ken tried to sneak past the boss because he was looking for late people.,ken tried to sneak past the boss because he was looking for late people.,1,1,1,he,"0: ken, 1: the boss",1,lower
44,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Jane bingum presented strong evidence against Claire, but she may present a strong defense on her part.",1,1,1,she,"0: Jane bingum, 1: Claire",1,lower
45,"Mark still wants to marry Johnny, but at the wedding his cowardice comes out once more.","Mark still wants to marry johnny, but at the wedding his cowardice comes out once more.",1,0,0,his,"0: Mark, 1: johnny",1,lower
46,A chicken pecked at a bug and it ran away.,a chicken pecked at a bug and it ran away.,1,1,1,it,"0: a chicken, 1: a bug",1,lower
47,Bob asked Tom if he could lend some money.,Bob asked tom if he could lend some money.,1,0,0,he,"0: Bob, 1: tom",1,lower
48,"Pei Wei sells sesame chicken as a signature dish, so they are constantly picked as an order.","pei wei sells sesame chicken as a signature dish, so they are constantly picked as an order.",1,1,1,they,"0: pei wei, 1: sesame chicken",1,lower
49,The hyenas scavenged from the lions because they were desperate.,The hyEnAs scavenged from the lions because they were desperate.,0,0,0,they,"0: The hyEnAs, 1: the lions",0,sponge
50,"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after hE hEaRs a poem that he had written.",0,1,0,he,"0: Mohammad Hosein, 1: Naser al-Din Shah Qajar",0,sponge
51,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is more fun than Modern Warfare 3 because iT is a better game.,0,0,0,iT,"0: Battlefield 3, 1: Modern Warfare 3",0,sponge
52,"The Police feared allowing the protesters to organize, so they denied their ability to gather.","The Police feared allowing the protesters to organize, so tHeY denied their ability to gather.",0,0,0,tHeY,"0: The Police, 1: the protesters",0,sponge
53,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries running after hIm, but he trips and falls.",0,0,0,hIm,"0: Dan, 1: Samuel",0,sponge
54,The professor gave the student a bad grade because he was strict.,The pRoFeSsOr gave the student a bad grade because he was strict.,0,0,0,he,"0: The pRoFeSsOr, 1: the student",0,sponge
55,"Mary smiled at Susan, but she was not happy to see her.","Mary smiled at Susan, but sHe wAs nOt happy to see her.",0,1,1,sHe,"0: Mary, 1: Susan",0,sponge
56,The ghost entered the house because it was haunting.,The gHoSt entered the house because it was haunting.,0,0,0,it,"0: The gHoSt, 1: the house",0,sponge
57,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson surpassed nigaHiga in Youtube subscribers, but he wants to increase the gap even more.",0,0,0,he,"0: Ray William Johnson, 1: nigaHiga",0,sponge
58,The mother bear attacked Karen because she was worried for her cub.,The mother bear attacked Karen because sHe was worried for her cub.,0,0,0,sHe,"0: The mother bear, 1: Karen",0,sponge
59,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The cOmMiTtEe increased the price of the tickets to the dance for the students, but they changed their decision later.",0,0,0,they,"0: The cOmMiTtEe, 1: the students",0,sponge
60,The clown smiled at the child and he offered him a balloon.,The clown smiled at the child and hE offered him a balloon.,0,0,0,he,"0: The clown, 1: the child",0,sponge
61,The fisherman hooked a big fish but he dropped his pole.,The fisherman hooked a big fish but hE dRoPpEd his pole.,0,0,0,he,"0: The fisherman, 1: a big fish",0,sponge
62,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with ThEm.,1,1,1,he,"0: Robin, 1: Gael",1,sponge
63,"Some fan girls created a rap about Windows phones, but they did not become more popular.","Some fan girls created a rap about Windows phones, but tHeY did not become more popular.",1,0,0,tHeY,"0: Some fan girls, 1: Windows phones",1,sponge
64,"Joseph did not defeat William in the match, so he earned $100.","Joseph did not defeat William in the match, so hE eArNeD $100.",1,1,1,he,"0: Joseph, 1: William",1,sponge
65,"Rice beat Texas, even though they were the best team in the nation.","Rice beat Texas, even though tHeY were the best team in the nation.",1,1,1,tHeY,"0: Rice, 1: Texas",1,sponge
66,"Carlos becomes obsessed with Simon, but he suffers feelings of guilt since he is Rose's fianc.","Carlos becomes obsessed with Simon, but he suffers feelings of guilt since he is Rose's fIaNc.",1,0,0,he,"0: Carlos, 1: Simon",1,sponge
67,"Pei Wei sells sesame chicken as a signature dish, so they are constantly picked as an order.","Pei Wei sells sesame chicken as a signature dish, so tHeY are constantly picked as an order.",1,1,1,tHeY,"0: Pei Wei, 1: sesame chicken",1,sponge
68,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in Nixon accepting covert payments.,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in NiXoN accepting covert payments.,1,1,1,he,"0: Journalist Jack Anderson, 1: Watergate Special Prosecutor Archibald Cox",1,sponge
69,Fernando goes to talk to Alfonso but he pretends not to recognise them and calls them liars.,Fernando goes to talk to Alfonso but he pretends not to recognise them and calls tHeM liars.,1,1,1,he,"0: Fernando, 1: Alfonso",1,sponge
70,Kathy paid Jane to leave but she returned several weeks later.,Kathy paid Jane to leave but sHe returned several weeks later.,1,1,1,sHe,"0: Kathy, 1: Jane",1,sponge
71,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Gennie becomes interested in Emma and is jealous when sHe starts seeing Chas.,1,1,1,sHe,"0: Gennie, 1: Emma",1,sponge
72,The needle punctured the skin but it failed to register pain.,The nEeDlE punctured the skin but it failed to register pain.,1,1,1,it,"0: The nEeDlE, 1: the skin",1,sponge
73,"Delilah tries to reconcile with Lizzy, but she insists that their relationship is over.","Delilah tries to reconcile with Lizzy, but sHe iNsIsTs that their relationship is over.",1,1,1,sHe,"0: Delilah, 1: Lizzy",1,sponge
74,Pigs are better than sheep because they do not make bacon.,Pigs are better than sheep because tHeY do not make bacon.,1,1,1,tHeY,"0: Pigs, 1: sheep",1,sponge
75,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a shot that injures Barbara, but She shoots Larry dead.",0,0,0,She,"0: Megan, 1: Barbara",0,upper
76,The cat was afraid of the dog because it was timid.,The Cat was afraid of the dog because it was timid.,0,0,0,it,"0: The Cat, 1: the dog",0,upper
77,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the Spaniard Salvador Cardona, but His second place in the stage gave him the lead in the general classification.",0,0,0,His,"0: Fontan, 1: the Spaniard Salvador Cardona",0,upper
78,"Emma finally agrees to put Jennifer ashore, but after she has given her sleeping pills.","Emma finally agrees to Put Jennifer ashore, but after she has given her sleeping pills.",0,0,0,she,"0: Emma, 1: Jennifer",0,upper
79,"Ginette wants to hug Susanna, but she notices that the tobacco smell comes from her clothes.","Ginette wants to hug Susanna, But she notices that the tobacco smell comes from her clothes.",0,0,0,she,"0: Ginette, 1: Susanna",0,upper
80,"Esaias was not related to Willem van de Velde, but he was the cousin of Jan van de Velde.","Esaias was not related to Willem van de Velde, but He was the cousin of Jan van de Velde.",0,0,0,he,"0: Esaias, 1: Willem van de Velde",0,upper
81,The humans were afraid of the robots because they were weak.,The Humans were afraid of the robots because they were weak.,0,0,0,they,"0: The Humans, 1: the robots",0,upper
82,The professor gave the student a bad grade because he was strict.,The Professor gave the student a bad grade because he was strict.,0,0,0,he,"0: The Professor, 1: the student",0,upper
83,The employer talked to the employee about being loyal to him.,The Employer talked to the employee about being loyal to him.,0,0,0,him,"0: The Employer, 1: the employee",0,upper
84,The cat was afraid of the dog because it was timid.,The cat was afraid of the dog because It was timid.,0,0,0,It,"0: The cat, 1: the dog",0,upper
85,"George scored against Thomas in the shootout, so he won the game.","George scored against Thomas in the shootout, so He won the game.",0,0,0,he,"0: George, 1: Thomas",0,upper
86,A chicken pecked at a bug and it ate it.,A Chicken pecked at a bug and it ate it.,0,0,0,it,"0: A Chicken, 1: a bug",0,upper
87,The keys typed the words because they were meant to be typed on.,The keys Typed the words because they were meant to be typed on.,0,0,0,they,"0: The keys, 1: the words",0,upper
88,Samuel found out about Mark when his brother came to Japan.,Samuel found out about Mark when His brother came to Japan.,1,0,0,His,"0: Samuel, 1: Mark",1,upper
