,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis has been ordered to kill Noelia, but she is unsure if she can actually go along with this plan.",she,"0: Janis, 1: Noelia",0,0,0,0,1887
1,John fired Bill because he was incompetent.,John fired Bill for incompetence.,he,"0: John, 1: Bill",1,0,0,1,51
2,John called Bill because he was a good listener.,John called Bill since he was a good listener.,he,"0: John, 1: Bill",1,0,0,1,269
3,The blimp hit the tree because it lost air.,The blimp hit the tree because it suddenly lost a lot of air.,it,"0: The blimp, 1: the tree",0,0,0,0,232
4,"Theresa almost admits to killing Stephanie, but stops when Logan tells her he is a police officer.","Theresa almost admits to killing Stephanie, but stops when Logan reveals he's a cop.",her,"0: Theresa, 1: Stephanie",0,0,0,0,1782
5,Watson beat Ken at Jeopardy because he is an inferior human.,Watson beat Ken at Jeopardy because he's inferior.,he,"0: Watson, 1: Ken",1,1,0,1,247
6,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Steven Seagal challenged Van Damme to a fight to prove he was stronger.,he,"0: Steven Seagal, 1: Van Damme",0,0,0,0,98
7,The car passed the truck because it was going too slow.,The car passed the truck because it was slow.,it,"0: The car, 1: the truck",1,1,0,1,104
8,John fired Bill because he was incompetent.,John decided to fire Bill because he found him to be completely incompetent.,he,"0: John, 1: Bill",1,0,0,1,51
9,The birds ate the seeds because they were tasty.,The birds quickly ate the scattered seeds because they found them quite tasty.,they,"0: The birds, 1: the scattered seeds",1,0,0,1,181
10,The general fired his pistol at the monster so he turned and looked.,"The general quickly fired his pistol at the monster, so he turned and looked in surprise.",he,"0: The general, 1: the monster",1,0,0,1,23
11,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he refuses to see him and asks him to leave.",he,"0: Sam, 1: Dom",1,1,1,1,915
12,"Olivia wants to make amends with Emily, but she is apprehensive.","Olivia is eager to make amends with Emily, but she is still quite apprehensive.",she,"0: Olivia, 1: Emily",0,0,0,0,208
13,Bob sued Bill because he wanted more money.,Bob sued Bill for more money.,he,"0: Bob, 1: Bill",1,0,0,1,235
14,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Though Gino tries to avoid Ross, he eventually falls in love with him.",he,"0: Gino, 1: Ross",0,0,0,0,1047
15,Google Plus is expected to be a replacement for Facebook but it still has a lot more active users.,"Google Plus is anticipated to be a potential replacement for Facebook, but it still has a significantly larger number of active users.",it,"0: Google Plus, 1: Facebook",1,0,0,1,153
16,Liverpool lost to Manchester United because they were a superior team.,Liverpool lost to Manchester United because they were superior.,they,"0: Liverpool, 1: Manchester United",1,1,1,1,25
17,"Carlos becomes obsessed with Simon, but he suffers feelings of guilt since he is Rose's fianc.","Carlos quickly becomes obsessed with Simon, but he also suffers intense feelings of guilt since he is Rose's committed fiancé.",he,"0: Carlos, 1: Simon",1,0,0,1,1206
18,"Doctor initially told Kennedy the tumor was inoperable, but he looked around for other opinions and decided on the most aggressive and exhausting course of treatment possible.","The Doctor initially told Kennedy the tumor was inoperable, but he diligently looked around for other expert opinions and ultimately decided on the most aggressive and exhaustive course of treatment available.",he,"0: The Doctor, 1: Kennedy",1,0,1,1,900
19,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but raised charges of fraud leading to a new election for governor.",he,"0: Lingad, 1: Estelito Mendoza",0,0,0,0,1714
20,"Theresa almost admits to killing Stephanie, but stops when Logan tells her he is a police officer.","Theresa almost admits to the crime of killing Stephanie, but she halts when Logan tells her firmly that he is an undercover police officer.",her,"0: Theresa, 1: Stephanie",0,0,0,0,1782
21,John visited Luke in the hospital because he lived close by.,John visited Luke in the hospital because he lived nearby.,he,"0: John, 1: Luke",0,0,0,0,49
22,The humans were afraid of the robots because they were weak.,Humans were afraid of robots because they were weak.,they,"0: Humans, 1: robots",0,0,0,0,238
23,"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.","Lance tried to reconcile with Bob, but his pride was hurt and he refused to take her back.",his,"0: Lance, 1: Bob",1,0,0,1,1606
24,Ken tried to sneak past the boss because he was looking for late people.,Ken attempted to quietly sneak past the boss because he was actively looking for late people.,he,"0: Ken, 1: the boss",1,0,0,1,185
25,The minister befriended King George so he could have some friends.,The minister eagerly befriended King George so that he could indeed have some close friends.,he,"0: The minister, 1: King George",1,0,0,1,281
26,"Emma finally agrees to put Jennifer ashore, but after she has given her sleeping pills.",Emma agrees to put Jennifer ashore after giving her sleeping pills.,she,"0: Emma, 1: Jennifer",0,0,0,0,1688
27,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a shot that ends up injuring Barbara, but then she decisively shoots Larry dead.",she,"0: Megan, 1: Barbara",0,0,0,0,2058
28,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,"Warren snuck Nige outside and angrily said that if he ever saw him again, he would definitely kill him.",he,"0: Warren, 1: Nige",0,0,0,0,1790
29,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so intensely that he resigned from the cabinet within just a few months of Wilson's own retirement.,he,"0: Mellish, 1: Callaghan",0,0,0,0,1235
30,The humans were afraid of the robots because they were weak.,All of the humans were deeply afraid of the robots because they were weak.,they,"0: All of the humans, 1: the robots",0,0,0,0,238
31,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is more fun than Modern Warfare 3 because it's better.,it,"0: Battlefield 3, 1: Modern Warfare 3",0,0,0,0,220
32,Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,Planet 343's intense sandstorm forces all the inhabitants underground because they have winds reaching upwards to 50 mph.,they,"0: Planet 343's intense sandstorm, 1: all the inhabitants",0,1,1,0,472
33,"Rice beat Texas, even though they were the best team in the nation.","Rice managed to beat Texas, even though they were considered the best team in the nation.",they,"0: Rice, 1: Texas",1,1,0,1,27
34,"Joseph did not defeat William in the match, so he earned $100.","Joseph did not manage to defeat William in the match, so he earned $100.",he,"0: Joseph, 1: William",1,0,0,1,159
35,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was eventually caught by the persistent Spaniard Salvador Cardona, but his impressive second place in the stage still gave him the lead in the general classification.",his,"0: Fontan, 1: the persistent Spaniard Salvador Cardona",0,0,0,0,1151
36,Bob can beat Larry at arm wrestling because he has more muscles.,Bob can easily beat Larry at arm wrestling because he has been training and has more muscles.,he,"0: Bob, 1: Larry",0,0,0,0,40
37,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis is ordered to kill Noelia, but doesn't know if she can comply.",she,"0: Janis, 1: Noelia",0,0,0,0,1887
38,"Kelly neglected to tell Katie that their rent was due, but she remembered that it was due on the first of every month.","Kelly neglected to tell Katie in advance that their rent was due, but she suddenly remembered that it was due on the first of every month.",she,"0: Kelly, 1: Katie",1,0,1,1,203
39,Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike and as a result, he had to pay for all the damage caused.",he,"0: Joe, 1: Mike",1,0,0,1,142
40,"Carl borrowed a book from Richard, but the book was never returned to him.","Carl borrowed a fascinating book from Richard, but the book was never returned to him.",him,"0: Carl, 1: Richard",1,1,0,1,6
41,Kathy paid Jane to leave but she returned several weeks later.,Kathy paid Jane to leave but surprisingly she returned just a few weeks later.,she,"0: Kathy, 1: Jane",1,1,1,1,1986
42,Liverpool lost to Manchester United because they were a superior team.,Liverpool lost to Manchester United because they were clearly the superior team.,they,"0: Liverpool, 1: Manchester United",1,1,1,1,25
43,Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and consequently he had to pay for all the damage.,he,"0: Joe, 1: Mike",1,0,0,1,142
44,Joe raced against Steven because he would not say no.,Determined Joe raced against Steven because he would absolutely not say no.,he,"0: Joe, 1: Steven",1,0,0,1,149
45,"Kelly neglected to tell Katie that their rent was due, but she told her later.","Kelly neglected to tell Katie earlier that their rent was due, but eventually she told her later.",she,"0: Kelly, 1: Katie",0,0,0,0,202
46,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Jane Bingum presented strong evidence against Claire, but she may present a strong defense.",she,"0: Jane Bingum, 1: Claire",1,0,0,1,429
47,The boy escaped the cop but he continued to flee.,The boy quickly escaped the cop but he still continued to flee in panic.,he,"0: The boy, 1: the cop",0,0,0,0,114
48,Someone hit Billy in the face because he was being rude.,Someone hit Billy squarely in the face because he was being extremely rude.,he,"0: Someone, 1: Billy",1,0,0,1,225
49,"George scored against Thomas in the shootout, so he lost the game.","In the final round, George scored against Thomas in the shootout, so he lost the game.",he,"0: George, 1: Thomas",1,1,1,1,193
50,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and eagerly tries to speak to Dom once more, but he does not want to see him at all, and firmly asks him to leave.",he,"0: Sam, 1: Dom",1,1,1,1,915
51,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee initially increased the price of the tickets to the dance for the students, but they eventually changed their decision later.",they,"0: The committee, 1: the students",0,0,0,0,205
52,The fisherman hooked a big fish but he dropped his pole.,The fisherman successfully hooked a big fish but then he dropped his pole.,he,"0: The fisherman, 1: a big fish",0,0,0,0,189
53,My heart pumps blood because it is liquid.,My heart actively pumps blood because it is a liquid substance.,it,"0: My heart, 1: blood",1,0,0,1,32
