,task,modification,original_res,modified_res,difference,pct_difference,p_value
9,dialogue_contradiction_detection,temporal_bias_100,0.9,0.94,0.04,4.44,0.299526382735407
0,dialogue_contradiction_detection,geographical_bias_100,0.9,0.92,0.02,2.22,0.6232716978055203
8,dialogue_contradiction_detection,length_bias_100,0.91,0.94,0.03,3.3,0.4231377885464038
10,dialogue_contradiction_detection,typo_bias_100,0.91,0.95,0.04,4.4,0.2698977396501556
4,dialogue_contradiction_detection,capitalization_100,0.91,0.96,0.05,5.56,0.15292068492826652
7,dialogue_contradiction_detection,punctuation_100,0.92,0.93,0.01,1.09,0.7896202806590895
16,dialogue_contradiction_detection,derivation_100,0.91,0.95,0.05,5.06,0.23383639278930154
14,dialogue_contradiction_detection,compound_word_100,0.94,0.95,0.01,1.12,0.7576053823331064
3,dialogue_contradiction_detection,active_to_passive_100,0.9,0.88,-0.02,-2.22,0.6532395250727525
6,dialogue_contradiction_detection,grammatical_role_100,0.94,0.92,-0.02,-1.61,0.7322710153157064
13,dialogue_contradiction_detection,coordinating_conjunction_100,0.95,0.94,-0.01,-1.05,0.7578887756053516
2,dialogue_contradiction_detection,concept_replacement_100,0.94,0.94,-0.0,-0.0,1.0
5,dialogue_contradiction_detection,negation_100,0.9,0.76,-0.14,-15.12,0.012745423165485579
1,dialogue_contradiction_detection,discourse_100,0.83,0.85,0.02,2.44,0.7011581938944695
12,dialogue_contradiction_detection,sentiment_100,0.91,0.84,-0.07,-7.69,0.13583725104687172
15,dialogue_contradiction_detection,casual_100,0.94,0.95,0.01,1.06,0.7578887756053516
11,dialogue_contradiction_detection,dialectal_100,0.89,0.83,-0.06,-6.74,0.2234803774111256
17,dialogue_contradiction_detection,average,0.91,0.91,-0.0,-0.22,
