,text,modified_label,modified_pred,original_label,original_text,original_pred
0,it shows that fincher is a director who skillfully uses tech skills to dig into what makes people tick.,1,1,1,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1
1,totally digs into the struggle of choosing between what you really want and what tradition says you should do.,1,1,1,brilliantly explores the conflict between following one's heart and following the demands of tradition.,1
2,"2 hrs just zoom by - opera's a blast when there's no breaks to sit through - and even if you're new to it, you'll leave feeling pumped.",1,1,1,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1
3,"filmmakers who can switch vibes like that are pure gold, seriously amazing!",1,1,1,filmmakers who can deftly change moods are treasures and even marvels.,1
4,"his jokes are usually old or just super rude, just to get some shocked laughs, no real depth to it.",0,0,0,"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.",0
5,"choked up by its picky script and stiff characters, this dusty redo is even more irritating cuz Hollywood's just repackaged it and is selling it back to us.",0,0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0
6,the movie version doesn't try to be deep or meaningful at all.,0,0,0,no aspirations to social import inform the movie version.,0
7,"once kim starts to go overboard with the shock stuff and those bait-and-tackle metaphors, you might think it's not worth it for just a fancy snapshot.",0,0,0,"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0
8,"a super engaging flick, with performances that are all low-key and hit you right in the feels.",1,1,1,"a gripping movie, played with performances that are all understated and touching.",1
9,"it's a piece by an artist who's totally got his craft and point down, so he can riff like a jazz pro.",1,1,1,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1
10,"they've put a whole world on the screen, not just a bunch of plot points leading to a neat ending.",1,1,1,"a full world has been presented onscreen, not some series of carefully structured plot points building to a pat resolution.",1
11,it's not the ultimate gangster flick from the depression times.,0,0,0,it's not the ultimate depression-era gangster movie.,0
12,"it's tough to get into a movie about a dude who's just not likable, and shiner, with michael caine playing some old british boxing promoter craving fame and cash, is definitely that.",0,0,0,"it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.",0
13,"ultimately, the flick just falls apart'cause of its weak base, even though director Joe Carnahan really tried his best.",0,0,0,"in the end, the movie collapses on its shaky foundation despite the best efforts of director joe carnahan.",0
14,a sexist trash movie trying to look cool for the young crowd.,0,0,0,"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0
15,"his last flick was like poetry and had some unforgettable pics, but his new one's got zip.",0,0,0,"his last movie was poetically romantic and full of indelible images, but his latest has nothing going for it.",0
16,"the thoughts on being swamped with tech aren't exactly new, but they're shown with a kind of sly, dark comedy.",1,0,1,"while the ideas about techno-saturation are far from novel, they're presented with a wry dark humor.",1
17,Huston totally nails the friendly vibes and that suffocating feeling of emptiness.,1,0,1,huston nails both the glad-handing and the choking sense of hollow despair.,0
18,"Green might wanna keep that ski mask,'cause robbing might be the only way to fund his next gig.",0,0,0,"green might want to hang onto that ski mask, as robbery may be the only way to pay for his next project.",0
19,"about a manga-style girl who kicks butt against her abusers, it's full of energy and feels good even if it's not super deep or mind-bending.",1,1,1,"about a manga-like heroine who fights back at her abusers, it's energetic and satisfying if not deep and psychological.",1
20,"the movie's gonna be awesome on any screen, big or small.",1,1,1,the film will play equally well on both the standard and giant screens.,1
21,"everyone should totally check it out, especially if you're kinda curious about what's going on in the world.",1,1,1,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons.,1
22,"thanks to haynes' total grip on the movie's vibe, and lifted by three awesome acts, far from heaven really nails this tricky style mix.",1,1,1,"thanks to haynes ' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.",1
23,it's all over the place and kinda half-baked.,0,0,0,too much of it feels unfocused and underdeveloped.,0
24,it's made with super cool and kinda spooky vibes.,1,1,1,it's made with deftly unsettling genre flair.,1
25,"no endless techno beats or deep stuff like in a Kieslowski flick, Maelstr\u00f6m's just another Winter Sleepers.",0,0,0,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0
26,what used to be fresh is copied so much it's just basic now.,0,0,0,what was once original has been co-opted so frequently that it now seems pedestrian.,0
27,it's a quirky treat that teases the whole voting thing but also checks out why it's important for the folks involved.,1,1,1,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1
28,"a quick, hilarious, super fun flick.",1,1,1,"a fast, funny, highly enjoyable movie.",1
29,blanchett totally rocked it again!,1,1,1,blanchett's performance confirms her power once again.,1
30,it's no fun seeing a kid suffer.,0,0,0,there is no pleasure in watching a child suffer.,0
31,you gotta wonder why it wasn't just a music vid instead of a whole movie.,0,0,0,you wonder why enough wasn't just a music video rather than a full-length movie.,0
32,has all the good stuff you'd expect from Eastwood at his best.,1,1,1,has a lot of the virtues of eastwood at his best.,1
33,"like leon, it's kinda annoying but you still gotta like it.",1,1,1,"like leon, it's frustrating and still oddly likable.",1
34,"so stupid, it's shocking and totally boring.",0,0,0,"stultifyingly, dumbfoundingly, mind-numbingly bad.",0
35,"cuz of this and only this \u2013 the strong, stuck-up beliefs it's got \u2013 chelsea walls totally deserves a medal.",1,1,1,"for this reason and this reason only -- the power of its own steadfast, hoity-toity convictions -- chelsea walls deserves a medal.",1
36,"it's super spooky, totally freaks you out, jumps at you and grabs ya; you just can't peel your eyes off it.",1,1,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",0
37,"i feel for these families, but the movie kinda sucks at showing what's really going on.",0,0,0,"i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.",0
38,"nothing's on the line, just a predictable double-cross you can spot from a mile off \u2013 but hey, the copycat Nine Queens is still a blast.",1,1,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1
39,and that's a huge reason why we hit the movies.,1,1,1,and that's a big part of why we go to the movies.,1
40,"a super packed, full of references movie, and a bold comeback that can totally hang with jean-luc godard's best stuff.",1,1,1,"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.",1
41,"the kids will probs stay entertained with all the bright, colorful characters.",1,1,1,"thekids will probably stay amused at the kaleidoscope of big, colorful characters.",1
42,just as tacky as the name sounds.,1,0,1,as unseemly as its title suggests.,0
43,just proves that gut feeling that ethan hawke would totally suck more at directing than acting.,0,0,0,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it.,0
44,"richard gere and diane lane were great, and so was that French guy oliver martinez!",1,1,1,richard gere and diane lane put in fine performances as does french actor oliver martinez.,1
45,a clever and funny sequel.,1,1,1,"a smart, witty follow-up.",1
46,"birthday girl is a fun rollercoaster, with some shockingly rough spots.",1,1,1,"birthday girl is an amusing joy ride, with some surprisingly violent moments.",1
47,a kinda funny flick that'll probs catch the eye of'Malcolm in the Middle' fans and peeps who dig Frankie Muniz.,1,1,1,"a fitfully amusing romp that, if nothing else, will appeal to fans of malcolm in the middle and its pubescent star, frankie muniz.",1
48,"corpus collosum -- gotta say it's kinda cool -- but it just dragged on and I was over it way before the end credits, like 45 mins in.",0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
49,"byler shows off his characters in a way that grabs our attention and is super interesting, without making it just a cheesy soap opera.",1,1,1,"byler reveals his characters in a way that intrigues and even fascinates us, and he never reduces the situation to simple melodrama.",1
50,"still gets ya in the feels, lifts you up and cracks you up just like always.",1,1,1,"just as moving, uplifting and funny as ever.",1
51,"super exciting and straight-up, with ghost stuff that's just enough to keep us on edge.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
52,"late marriage is so stiff, it probably won't have the emotional punch to really wow American audiences.",0,0,0,late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,0
53,"amazing critters, awesome views, and huge fight scenes make for another'spectacular show'.",1,1,1,"awesome creatures, breathtaking scenery, and epic battle scenes add up to another ` spectacular spectacle. '",1
54,"it's just some fun eye-candy and mindless brain tickles, nothing more.",0,1,0,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment.,0
55,"it's not some over-the-top, beat-driven city flick, it's just a down-to-earth, socially sharp look at real life.",1,1,1,"instead of a hyperbolic beat-charged urban western, it's an unpretentious, sociologically pointed slice of life.",1
56,"the cast's got a ton of energy, feels like they're having a blast and it's just right!",1,1,1,"there's... tremendous energy from the cast, a sense of playfulness and excitement that seems appropriate.",1
57,it's just fluff.,0,0,0,it's just filler.,0
58,paints some cool pics... but makhmalbaf kinda stays away from the peeps,1,0,1,"does paint some memorable images..., but makhmalbaf keeps her distance from the characters",0
59,just plays a harmless game of fill-in-the-blanks with a sad backstory.,0,0,0,does little more than play an innocuous game of fill-in - the-blanks with a tragic past.,0
60,"it's done super serious-like, barely any jokes to make it fun.",0,0,0,"it's played in the most straight-faced fashion, with little humor to lighten things up.",0
61,"grown-ups will wish the flick was less basic, in-your-face, awkwardly put together and kinda flat in the character department.",0,0,0,"adults will wish the movie were less simplistic, obvious, clumsily plotted and shallowly characterized.",0
62,that's a nice shout-out to Kuras and Miller.,1,1,1,that is a compliment to kuras and miller.,1
63,a movie about a dude finding god that really hits you in the feels.,1,1,1,a film about a young man finding god that is accessible and touching to the marrow.,1
64,"if steven soderbergh's `solaris' flopped, it's still an epic fail.",1,0,1,if steven soderbergh's ` solaris ' is a failure it is a glorious failure.,0
65,chokes and stumbles on its own fancy gimmick.,0,0,0,coughs and sputters on its own postmodern conceit.,0
66,my big fat greek wedding is all about using those cliches in a super fun mix of cute romance and humor that's served up with love.,1,1,1,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor.,1
