Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,Most of the town is actually a high-security gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'label': 'ORGANIZATION'}]",Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'label': 'ORGANIZATION'}]","[{'text': 'Orchid Island Golf and Beach Club', 'label': 'LOCATION'}]",
1,In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various high-performance models over the next 40 years.,"[{'text': 'Boeing B-52', 'label': 'PRODUCT'}]","[{'text': 'Boeing B-52 Stratofortress', 'label': 'PRODUCT'}]",In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various models over the next 40 years.,"[{'text': 'Boeing B-52 Stratofortress', 'label': 'PRODUCT'}]","[{'text': 'Boeing B-52', 'label': 'PRODUCT'}]",
2,"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during childbearing.","[{'text': 'cardiac failure,', 'label': 'OTHER'}, {'text': 'hypertension', 'label': 'OTHER'}, {'text': 'pre-eclampsia', 'label': 'OTHER'}]",[],"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.",[],"[{'text': 'cardiac failure,', 'label': 'OTHER'}, {'text': 'hypertension', 'label': 'OTHER'}, {'text': 'pre-eclampsia', 'label': 'OTHER'}]",
3,"Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a well-fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'text': ""DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Richard Hewlett', 'label': 'PERSON'}, {'text': 'Setauket', 'label': 'LOCATION'}]",[],"Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.",[],"[{'text': ""DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Richard Hewlett', 'label': 'PERSON'}, {'text': 'Setauket', 'label': 'LOCATION'}]",
4,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were top-notch as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]",
5,"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre masterpieces.","[{'text': 'Back to Basics', 'label': 'ORGANIZATION'}]","[{'text': 'Back to Basics', 'label': 'PRODUCT'}]","Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","[{'text': 'Back to Basics', 'label': 'PRODUCT'}]","[{'text': 'Back to Basics', 'label': 'ORGANIZATION'}]",
6,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be cost-prohibitive.","[{'text': 'Martin Beck Theater', 'label': 'BUILDING'}]","[{'text': 'Martin Beck Theater', 'label': 'BUILDING'}]","The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.","[{'text': 'Martin Beck Theater', 'label': 'BUILDING'}]","[{'text': 'Martin Beck Theater', 'label': 'BUILDING'}]",
7,"This led to the cornerstone-laying by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph, Elector of Bavaria', 'label': 'PERSON'}]","[{'text': 'Bavaria', 'label': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph', 'label': 'PERSON'}]","This led to the foundation by Maximilian III Joseph, Elector of Bavaria of the Bavarian Academy of Sciences and Humanities on 28 March 1759.","[{'text': 'Bavaria', 'label': 'LOCATION'}, {'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph', 'label': 'PERSON'}]","[{'text': 'Bavarian Academy of Sciences and Humanities', 'label': 'ORGANIZATION'}, {'text': 'Maximilian III Joseph, Elector of Bavaria', 'label': 'PERSON'}]",
8,This collection contains material relating to sexual healthcare issues from 1974-2007.,[],[],This collection contains material relating to sexual health issues from 1974-2007.,[],[],
9,The government announced a state funeral and a day of nationwide mourning.,[],[],The government announced a state funeral and a day of national mourning.,[],[],
